pokemon_identifier,move_identifier
pidgeotto,tailwind
pidgeotto,defog
pidgeot,sky-attack
pidgeot,snore
pidgeot,uproar
pidgeot,heat-wave
pidgeot,tailwind
pidgeot,defog
pidgeot,laser-focus
pidgeot-mega,sky-attack
pidgeot-mega,snore
pidgeot-mega,uproar
pidgeot-mega,heat-wave
pidgeot-mega,tailwind
pidgeot-mega,defog
pidgeot-mega,laser-focus
rattata,super-fang
rattata,snore
rattata,icy-wind
rattata,iron-tail
rattata,uproar
rattata,endeavor
rattata,covet
rattata,shock-wave
rattata,last-resort
rattata,zen-headbutt
rattata-alola,super-fang
rattata-alola,snore
rattata-alola,icy-wind
rattata-alola,iron-tail
rattata-alola,uproar
rattata-alola,endeavor
rattata-alola,snatch
rattata-alola,covet
rattata-alola,shock-wave
rattata-alola,last-resort
rattata-alola,zen-headbutt
raticate,super-fang
raticate,snore
raticate,icy-wind
raticate,iron-tail
raticate,uproar
raticate,endeavor
raticate,covet
raticate,shock-wave
raticate,last-resort
raticate,zen-headbutt
raticate,throat-chop
raticate,stomping-tantrum
raticate-alola,super-fang
raticate-alola,snore
raticate-alola,icy-wind
raticate-alola,iron-tail
raticate-alola,uproar
raticate-alola,knock-off
raticate-alola,endeavor
raticate-alola,snatch
raticate-alola,covet
raticate-alola,shock-wave
raticate-alola,last-resort
raticate-alola,zen-headbutt
raticate-alola,throat-chop
raticate-alola,stomping-tantrum
spearow,sky-attack
spearow,snore
spearow,uproar
spearow,heat-wave
spearow,tailwind
spearow,defog
spearow,drill-run
fearow,sky-attack
fearow,snore
fearow,uproar
fearow,heat-wave
fearow,tailwind
fearow,defog
fearow,drill-run
fearow,laser-focus
fearow,throat-chop
ekans,bind
ekans,snore
ekans,spite
ekans,giga-drain
ekans,iron-tail
ekans,snatch
ekans,gastro-acid
ekans,aqua-tail
ekans,seed-bomb
ekans,gunk-shot
arbok,bind
arbok,snore
arbok,spite
arbok,giga-drain
arbok,iron-tail
arbok,snatch
arbok,gastro-acid
arbok,aqua-tail
arbok,seed-bomb
arbok,gunk-shot
arbok,throat-chop
arbok,stomping-tantrum
pichu,thunder-punch
pichu,snore
pichu,iron-tail
pichu,uproar
pichu,helping-hand
pichu,signal-beam
pichu,covet
pichu,shock-wave
pichu,magnet-rise
pichu,electroweb
pichu-spiky-eared,headbutt
pichu-spiky-eared,swift
pichu-spiky-eared,snore
pichu-spiky-eared,mud-slap
pichu-spiky-eared,rollout
pichu-spiky-eared,uproar
pichu-spiky-eared,helping-hand
pichu-spiky-eared,signal-beam
pichu-spiky-eared,magnet-rise
pikachu,thunder-punch
pikachu,snore
pikachu,iron-tail
pikachu,focus-punch
pikachu,helping-hand
pikachu,knock-off
pikachu,signal-beam
pikachu,covet
pikachu,volt-tackle
pikachu,shock-wave
pikachu,magnet-rise
pikachu,electroweb
pikachu,laser-focus
pikachu-cosplay,thunder-punch
pikachu-cosplay,snore
pikachu-cosplay,sleep-talk
pikachu-cosplay,iron-tail
pikachu-cosplay,focus-punch
pikachu-cosplay,helping-hand
pikachu-cosplay,knock-off
pikachu-cosplay,signal-beam
pikachu-cosplay,covet
pikachu-cosplay,shock-wave
pikachu-cosplay,magnet-rise
pikachu-cosplay,electroweb
pikachu-rock-star,thunder-punch
pikachu-rock-star,snore
pikachu-rock-star,sleep-talk
pikachu-rock-star,iron-tail
pikachu-rock-star,focus-punch
pikachu-rock-star,helping-hand
pikachu-rock-star,knock-off
pikachu-rock-star,signal-beam
pikachu-rock-star,covet
pikachu-rock-star,shock-wave
pikachu-rock-star,magnet-rise
pikachu-rock-star,electroweb
pikachu-belle,thunder-punch
pikachu-belle,snore
pikachu-belle,sleep-talk
pikachu-belle,iron-tail
pikachu-belle,focus-punch
pikachu-belle,helping-hand
pikachu-belle,knock-off
pikachu-belle,signal-beam
pikachu-belle,covet
pikachu-belle,shock-wave
pikachu-belle,magnet-rise
pikachu-belle,electroweb
pikachu-pop-star,thunder-punch
pikachu-pop-star,snore
pikachu-pop-star,sleep-talk
pikachu-pop-star,iron-tail
pikachu-pop-star,focus-punch
pikachu-pop-star,helping-hand
pikachu-pop-star,knock-off
pikachu-pop-star,signal-beam
pikachu-pop-star,covet
pikachu-pop-star,shock-wave
pikachu-pop-star,magnet-rise
pikachu-pop-star,electroweb
pikachu-ph-d,thunder-punch
pikachu-ph-d,snore
pikachu-ph-d,sleep-talk
pikachu-ph-d,iron-tail
pikachu-ph-d,focus-punch
pikachu-ph-d,helping-hand
pikachu-ph-d,knock-off
pikachu-ph-d,signal-beam
pikachu-ph-d,covet
pikachu-ph-d,shock-wave
pikachu-ph-d,magnet-rise
pikachu-ph-d,electroweb
pikachu-libre,thunder-punch
pikachu-libre,snore
pikachu-libre,sleep-talk
pikachu-libre,iron-tail
pikachu-libre,focus-punch
pikachu-libre,helping-hand
pikachu-libre,knock-off
pikachu-libre,signal-beam
pikachu-libre,covet
pikachu-libre,shock-wave
pikachu-libre,magnet-rise
pikachu-libre,electroweb
pikachu-original-cap,thunder-punch
pikachu-original-cap,snore
pikachu-original-cap,iron-tail
pikachu-original-cap,focus-punch
pikachu-original-cap,helping-hand
pikachu-original-cap,knock-off
pikachu-original-cap,signal-beam
pikachu-original-cap,covet
pikachu-original-cap,volt-tackle
pikachu-original-cap,shock-wave
pikachu-original-cap,magnet-rise
pikachu-original-cap,electroweb
pikachu-original-cap,laser-focus
pikachu-hoenn-cap,thunder-punch
pikachu-hoenn-cap,snore
pikachu-hoenn-cap,iron-tail
pikachu-hoenn-cap,focus-punch
pikachu-hoenn-cap,helping-hand
pikachu-hoenn-cap,knock-off
pikachu-hoenn-cap,signal-beam
pikachu-hoenn-cap,covet
pikachu-hoenn-cap,volt-tackle
pikachu-hoenn-cap,shock-wave
pikachu-hoenn-cap,magnet-rise
pikachu-hoenn-cap,electroweb
pikachu-hoenn-cap,laser-focus
pikachu-sinnoh-cap,thunder-punch
pikachu-sinnoh-cap,snore
pikachu-sinnoh-cap,iron-tail
pikachu-sinnoh-cap,focus-punch
pikachu-sinnoh-cap,helping-hand
pikachu-sinnoh-cap,knock-off
pikachu-sinnoh-cap,signal-beam
pikachu-sinnoh-cap,covet
pikachu-sinnoh-cap,volt-tackle
pikachu-sinnoh-cap,shock-wave
pikachu-sinnoh-cap,magnet-rise
pikachu-sinnoh-cap,electroweb
pikachu-sinnoh-cap,laser-focus
pikachu-unova-cap,thunder-punch
pikachu-unova-cap,snore
pikachu-unova-cap,iron-tail
pikachu-unova-cap,focus-punch
pikachu-unova-cap,helping-hand
pikachu-unova-cap,knock-off
pikachu-unova-cap,signal-beam
pikachu-unova-cap,covet
pikachu-unova-cap,volt-tackle
pikachu-unova-cap,shock-wave
pikachu-unova-cap,magnet-rise
pikachu-unova-cap,electroweb
pikachu-unova-cap,laser-focus
pikachu-kalos-cap,thunder-punch
pikachu-kalos-cap,snore
pikachu-kalos-cap,iron-tail
pikachu-kalos-cap,focus-punch
pikachu-kalos-cap,helping-hand
pikachu-kalos-cap,knock-off
pikachu-kalos-cap,signal-beam
pikachu-kalos-cap,covet
pikachu-kalos-cap,volt-tackle
pikachu-kalos-cap,shock-wave
pikachu-kalos-cap,magnet-rise
pikachu-kalos-cap,electroweb
pikachu-kalos-cap,laser-focus
pikachu-alola-cap,thunder-punch
pikachu-alola-cap,snore
pikachu-alola-cap,iron-tail
pikachu-alola-cap,focus-punch
pikachu-alola-cap,helping-hand
pikachu-alola-cap,knock-off
pikachu-alola-cap,signal-beam
pikachu-alola-cap,covet
pikachu-alola-cap,volt-tackle
pikachu-alola-cap,shock-wave
pikachu-alola-cap,magnet-rise
pikachu-alola-cap,electroweb
pikachu-alola-cap,laser-focus
pikachu-partner-cap,thunder-punch
pikachu-partner-cap,snore
pikachu-partner-cap,iron-tail
pikachu-partner-cap,focus-punch
pikachu-partner-cap,helping-hand
pikachu-partner-cap,knock-off
pikachu-partner-cap,signal-beam
pikachu-partner-cap,covet
pikachu-partner-cap,volt-tackle
pikachu-partner-cap,shock-wave
pikachu-partner-cap,magnet-rise
pikachu-partner-cap,electroweb
pikachu-partner-cap,laser-focus
raichu,thunder-punch
raichu,snore
raichu,iron-tail
raichu,focus-punch
raichu,helping-hand
raichu,knock-off
raichu,signal-beam
raichu,covet
raichu,shock-wave
raichu,magnet-rise
raichu,electroweb
raichu,laser-focus
raichu-alola,thunder-punch
raichu-alola,snore
raichu-alola,iron-tail
raichu-alola,focus-punch
raichu-alola,helping-hand
raichu-alola,magic-coat
raichu-alola,recycle
raichu-alola,knock-off
raichu-alola,signal-beam
raichu-alola,covet
raichu-alola,shock-wave
raichu-alola,magnet-rise
raichu-alola,telekinesis
raichu-alola,magic-room
raichu-alola,ally-switch
raichu-alola,electroweb
raichu-alola,laser-focus
sandshrew,super-fang
sandshrew,snore
sandshrew,iron-tail
sandshrew,focus-punch
sandshrew,knock-off
sandshrew,covet
sandshrew,earth-power
sandshrew,stealth-rock
sandshrew,stomping-tantrum
sandshrew-alola,ice-punch
sandshrew-alola,super-fang
sandshrew-alola,snore
sandshrew-alola,icy-wind
sandshrew-alola,iron-tail
sandshrew-alola,focus-punch
sandshrew-alola,knock-off
sandshrew-alola,iron-defense
sandshrew-alola,covet
sandshrew-alola,aqua-tail
sandshrew-alola,iron-head
sandshrew-alola,stealth-rock
sandshrew-alola,throat-chop
sandslash,super-fang
sandslash,snore
sandslash,iron-tail
sandslash,focus-punch
sandslash,knock-off
sandslash,covet
sandslash,earth-power
sandslash,stealth-rock
sandslash,stomping-tantrum
sandslash-alola,ice-punch
sandslash-alola,super-fang
sandslash-alola,snore
sandslash-alola,icy-wind
sandslash-alola,iron-tail
sandslash-alola,focus-punch
sandslash-alola,knock-off
sandslash-alola,iron-defense
sandslash-alola,covet
sandslash-alola,aqua-tail
sandslash-alola,iron-head
sandslash-alola,stealth-rock
sandslash-alola,drill-run
sandslash-alola,throat-chop
nidoran-female,super-fang
nidoran-female,snore
nidoran-female,iron-tail
nidoran-female,helping-hand
nidoran-female,shock-wave
nidoran-female,water-pulse
nidorina,super-fang
nidorina,snore
nidorina,iron-tail
nidorina,helping-hand
nidorina,shock-wave
nidorina,water-pulse
nidorina,stomping-tantrum
nidoqueen,fire-punch
nidoqueen,ice-punch
nidoqueen,thunder-punch
nidoqueen,super-fang
nidoqueen,snore
nidoqueen,icy-wind
nidoqueen,outrage
nidoqueen,iron-tail
nidoqueen,uproar
nidoqueen,focus-punch
nidoqueen,helping-hand
nidoqueen,superpower
nidoqueen,shock-wave
nidoqueen,water-pulse
nidoqueen,aqua-tail
nidoqueen,dragon-pulse
nidoqueen,earth-power
nidoqueen,stealth-rock
nidoqueen,drill-run
nidoqueen,throat-chop
nidoqueen,stomping-tantrum
nidoran-male,super-fang
nidoran-male,snore
nidoran-male,iron-tail
nidoran-male,helping-hand
nidoran-male,shock-wave
nidoran-male,water-pulse
nidoran-male,drill-run
nidorino,super-fang
nidorino,snore
nidorino,iron-tail
nidorino,helping-hand
nidorino,shock-wave
nidorino,water-pulse
nidorino,drill-run
nidorino,stomping-tantrum
nidoking,fire-punch
nidoking,ice-punch
nidoking,thunder-punch
nidoking,super-fang
nidoking,snore
nidoking,icy-wind
nidoking,outrage
nidoking,iron-tail
nidoking,uproar
nidoking,focus-punch
nidoking,helping-hand
nidoking,superpower
nidoking,shock-wave
nidoking,water-pulse
nidoking,aqua-tail
nidoking,dragon-pulse
nidoking,earth-power
nidoking,stealth-rock
nidoking,drill-run
nidoking,throat-chop
nidoking,stomping-tantrum
cleffa,snore
cleffa,icy-wind
cleffa,iron-tail
cleffa,uproar
cleffa,helping-hand
cleffa,trick
cleffa,role-play
cleffa,magic-coat
cleffa,recycle
cleffa,endeavor
cleffa,hyper-voice
cleffa,signal-beam
cleffa,covet
cleffa,shock-wave
cleffa,water-pulse
cleffa,gravity
cleffa,last-resort
cleffa,zen-headbutt
cleffa,wonder-room
cleffa,telekinesis
cleffa,after-you
clefairy,fire-punch
clefairy,ice-punch
clefairy,thunder-punch
clefairy,snore
clefairy,icy-wind
clefairy,heal-bell
clefairy,iron-tail
clefairy,focus-punch
clefairy,helping-hand
clefairy,trick
clefairy,role-play
clefairy,magic-coat
clefairy,recycle
clefairy,knock-off
clefairy,endeavor
clefairy,snatch
clefairy,hyper-voice
clefairy,signal-beam
clefairy,bounce
clefairy,covet
clefairy,shock-wave
clefairy,water-pulse
clefairy,gravity
clefairy,last-resort
clefairy,drain-punch
clefairy,zen-headbutt
clefairy,stealth-rock
clefairy,wonder-room
clefairy,telekinesis
clefairy,after-you
clefable,fire-punch
clefable,ice-punch
clefable,thunder-punch
clefable,snore
clefable,icy-wind
clefable,heal-bell
clefable,iron-tail
clefable,focus-punch
clefable,helping-hand
clefable,trick
clefable,role-play
clefable,magic-coat
clefable,recycle
clefable,knock-off
clefable,endeavor
clefable,snatch
clefable,hyper-voice
clefable,signal-beam
clefable,bounce
clefable,covet
clefable,shock-wave
clefable,water-pulse
clefable,gravity
clefable,last-resort
clefable,drain-punch
clefable,zen-headbutt
clefable,stealth-rock
clefable,wonder-room
clefable,telekinesis
clefable,after-you
clefable,laser-focus
vulpix,snore
vulpix,spite
vulpix,pain-split
vulpix,iron-tail
vulpix,heat-wave
vulpix,role-play
vulpix,covet
vulpix,zen-headbutt
vulpix,foul-play
vulpix-alola,snore
vulpix-alola,spite
vulpix-alola,icy-wind
vulpix-alola,heal-bell
vulpix-alola,pain-split
vulpix-alola,iron-tail
vulpix-alola,role-play
vulpix-alola,covet
vulpix-alola,aqua-tail
vulpix-alola,zen-headbutt
vulpix-alola,foul-play
ninetales,snore
ninetales,spite
ninetales,pain-split
ninetales,iron-tail
ninetales,heat-wave
ninetales,role-play
ninetales,covet
ninetales,zen-headbutt
ninetales,foul-play
ninetales,laser-focus
ninetales-alola,snore
ninetales-alola,spite
ninetales-alola,icy-wind
ninetales-alola,heal-bell
ninetales-alola,pain-split
ninetales-alola,iron-tail
ninetales-alola,role-play
ninetales-alola,covet
ninetales-alola,aqua-tail
ninetales-alola,zen-headbutt
ninetales-alola,wonder-room
ninetales-alola,foul-play
ninetales-alola,laser-focus
igglybuff,snore
igglybuff,icy-wind
igglybuff,heal-bell
igglybuff,pain-split
igglybuff,uproar
igglybuff,helping-hand
igglybuff,role-play
igglybuff,magic-coat
igglybuff,recycle
igglybuff,endeavor
igglybuff,hyper-voice
igglybuff,bounce
igglybuff,covet
igglybuff,shock-wave
igglybuff,water-pulse
igglybuff,gravity
igglybuff,last-resort
jigglypuff,fire-punch
jigglypuff,ice-punch
jigglypuff,thunder-punch
jigglypuff,snore
jigglypuff,icy-wind
jigglypuff,heal-bell
jigglypuff,pain-split
jigglypuff,focus-punch
jigglypuff,helping-hand
jigglypuff,role-play
jigglypuff,magic-coat
jigglypuff,recycle
jigglypuff,knock-off
jigglypuff,endeavor
jigglypuff,snatch
jigglypuff,hyper-voice
jigglypuff,bounce
jigglypuff,covet
jigglypuff,shock-wave
jigglypuff,water-pulse
jigglypuff,gravity
jigglypuff,last-resort
jigglypuff,drain-punch
jigglypuff,stealth-rock
jigglypuff,telekinesis
jigglypuff,ally-switch
wigglytuff,fire-punch
wigglytuff,ice-punch
wigglytuff,thunder-punch
wigglytuff,snore
wigglytuff,icy-wind
wigglytuff,heal-bell
wigglytuff,pain-split
wigglytuff,focus-punch
wigglytuff,helping-hand
wigglytuff,role-play
wigglytuff,magic-coat
wigglytuff,recycle
wigglytuff,knock-off
wigglytuff,endeavor
wigglytuff,snatch
wigglytuff,hyper-voice
wigglytuff,bounce
wigglytuff,covet
wigglytuff,shock-wave
wigglytuff,water-pulse
wigglytuff,gravity
wigglytuff,last-resort
wigglytuff,drain-punch
wigglytuff,stealth-rock
wigglytuff,telekinesis
wigglytuff,magic-room
wigglytuff,ally-switch
wigglytuff,laser-focus
zubat,super-fang
zubat,snore
zubat,giga-drain
zubat,uproar
zubat,heat-wave
zubat,snatch
zubat,tailwind
zubat,zen-headbutt
zubat,defog
golbat,super-fang
golbat,snore
golbat,giga-drain
golbat,uproar
golbat,heat-wave
golbat,snatch
golbat,tailwind
golbat,zen-headbutt
golbat,defog
crobat,sky-attack
crobat,super-fang
crobat,snore
crobat,giga-drain
crobat,uproar
crobat,heat-wave
crobat,snatch
crobat,tailwind
crobat,zen-headbutt
crobat,defog
oddish,snore
oddish,giga-drain
oddish,synthesis
oddish,gastro-acid
oddish,worry-seed
oddish,seed-bomb
oddish,after-you
gloom,snore
gloom,giga-drain
gloom,synthesis
gloom,gastro-acid
gloom,worry-seed
gloom,seed-bomb
gloom,drain-punch
gloom,after-you
vileplume,snore
vileplume,giga-drain
vileplume,synthesis
vileplume,gastro-acid
vileplume,worry-seed
vileplume,seed-bomb
vileplume,drain-punch
vileplume,after-you
bellossom,snore
bellossom,giga-drain
bellossom,synthesis
bellossom,uproar
bellossom,gastro-acid
bellossom,worry-seed
bellossom,seed-bomb
bellossom,drain-punch
bellossom,after-you
bellossom,laser-focus
paras,snore
paras,giga-drain
paras,synthesis
paras,knock-off
paras,worry-seed
paras,seed-bomb
paras,bug-bite
paras,after-you
parasect,snore
parasect,giga-drain
parasect,synthesis
parasect,knock-off
parasect,worry-seed
parasect,seed-bomb
parasect,bug-bite
parasect,after-you
parasect,throat-chop
venonat,snore
venonat,giga-drain
venonat,skill-swap
venonat,signal-beam
venonat,zen-headbutt
venonat,bug-bite
venomoth,snore
venomoth,giga-drain
venomoth,skill-swap
venomoth,signal-beam
venomoth,tailwind
venomoth,zen-headbutt
venomoth,defog
venomoth,bug-bite
diglett,snore
diglett,earth-power
diglett,stealth-rock
diglett,stomping-tantrum
diglett-alola,steel-beam
dugtrio,snore
dugtrio,earth-power
dugtrio,stealth-rock
dugtrio,stomping-tantrum
dugtrio-alola,steel-beam
meowth,snore
meowth,spite
meowth,icy-wind
meowth,iron-tail
meowth,uproar
meowth,knock-off
meowth,snatch
meowth,hyper-voice
meowth,covet
meowth,shock-wave
meowth,water-pulse
meowth,last-resort
meowth,seed-bomb
meowth,gunk-shot
meowth,foul-play
meowth,throat-chop
meowth-alola,snore
meowth-alola,spite
meowth-alola,icy-wind
meowth-alola,iron-tail
meowth-alola,uproar
meowth-alola,knock-off
meowth-alola,snatch
meowth-alola,hyper-voice
meowth-alola,covet
meowth-alola,shock-wave
meowth-alola,water-pulse
meowth-alola,last-resort
meowth-alola,seed-bomb
meowth-alola,gunk-shot
meowth-alola,foul-play
meowth-alola,throat-chop
meowth-galar,steel-beam
persian,snore
persian,spite
persian,icy-wind
persian,iron-tail
persian,uproar
persian,knock-off
persian,snatch
persian,hyper-voice
persian,covet
persian,shock-wave
persian,water-pulse
persian,last-resort
persian,seed-bomb
persian,gunk-shot
persian,foul-play
persian,throat-chop
persian-alola,snore
persian-alola,spite
persian-alola,icy-wind
persian-alola,iron-tail
persian-alola,uproar
persian-alola,knock-off
persian-alola,snatch
persian-alola,hyper-voice
persian-alola,covet
persian-alola,shock-wave
persian-alola,water-pulse
persian-alola,last-resort
persian-alola,seed-bomb
persian-alola,gunk-shot
persian-alola,foul-play
persian-alola,throat-chop
perrserker,steel-beam
psyduck,ice-punch
psyduck,snore
psyduck,icy-wind
psyduck,iron-tail
psyduck,focus-punch
psyduck,role-play
psyduck,signal-beam
psyduck,water-pulse
psyduck,worry-seed
psyduck,aqua-tail
psyduck,zen-headbutt
psyduck,wonder-room
psyduck,telekinesis
golduck,ice-punch
golduck,low-kick
golduck,snore
golduck,icy-wind
golduck,iron-tail
golduck,focus-punch
golduck,role-play
golduck,signal-beam
golduck,water-pulse
golduck,worry-seed
golduck,aqua-tail
golduck,zen-headbutt
golduck,wonder-room
golduck,telekinesis
golduck,laser-focus
golduck,liquidation
mankey,fire-punch
mankey,ice-punch
mankey,thunder-punch
mankey,low-kick
mankey,snore
mankey,spite
mankey,outrage
mankey,iron-tail
mankey,uproar
mankey,focus-punch
mankey,helping-hand
mankey,role-play
mankey,endeavor
mankey,covet
mankey,seed-bomb
mankey,gunk-shot
mankey,dual-chop
mankey,stomping-tantrum
primeape,fire-punch
primeape,ice-punch
primeape,thunder-punch
primeape,low-kick
primeape,snore
primeape,spite
primeape,outrage
primeape,iron-tail
primeape,uproar
primeape,focus-punch
primeape,helping-hand
primeape,role-play
primeape,endeavor
primeape,covet
primeape,seed-bomb
primeape,gunk-shot
primeape,dual-chop
primeape,throat-chop
primeape,stomping-tantrum
growlithe,snore
growlithe,outrage
growlithe,iron-tail
growlithe,heat-wave
growlithe,helping-hand
growlithe,covet
arcanine,snore
arcanine,outrage
arcanine,iron-tail
arcanine,heat-wave
arcanine,helping-hand
arcanine,covet
arcanine,dragon-pulse
arcanine,iron-head
arcanine,laser-focus
poliwag,snore
poliwag,icy-wind
poliwag,helping-hand
poliwag,endeavor
poliwag,water-pulse
poliwhirl,ice-punch
poliwhirl,snore
poliwhirl,icy-wind
poliwhirl,focus-punch
poliwhirl,helping-hand
poliwhirl,endeavor
poliwhirl,water-pulse
poliwrath,ice-punch
poliwrath,snore
poliwrath,icy-wind
poliwrath,focus-punch
poliwrath,helping-hand
poliwrath,endeavor
poliwrath,water-pulse
poliwrath,dual-chop
poliwrath,throat-chop
politoed,ice-punch
politoed,snore
politoed,icy-wind
politoed,focus-punch
politoed,helping-hand
politoed,endeavor
politoed,hyper-voice
politoed,bounce
politoed,water-pulse
abra,fire-punch
abra,ice-punch
abra,thunder-punch
abra,snore
abra,iron-tail
abra,focus-punch
abra,trick
abra,role-play
abra,magic-coat
abra,recycle
abra,knock-off
abra,skill-swap
abra,snatch
abra,signal-beam
abra,shock-wave
abra,gravity
abra,drain-punch
abra,zen-headbutt
abra,wonder-room
abra,telekinesis
abra,magic-room
abra,foul-play
abra,ally-switch
kadabra,fire-punch
kadabra,ice-punch
kadabra,thunder-punch
kadabra,snore
kadabra,iron-tail
kadabra,focus-punch
kadabra,trick
kadabra,role-play
kadabra,magic-coat
kadabra,recycle
kadabra,knock-off
kadabra,skill-swap
kadabra,snatch
kadabra,signal-beam
kadabra,shock-wave
kadabra,gravity
kadabra,drain-punch
kadabra,zen-headbutt
kadabra,wonder-room
kadabra,telekinesis
kadabra,magic-room
kadabra,foul-play
kadabra,ally-switch
alakazam,fire-punch
alakazam,ice-punch
alakazam,thunder-punch
alakazam,snore
alakazam,iron-tail
alakazam,focus-punch
alakazam,trick
alakazam,role-play
alakazam,magic-coat
alakazam,recycle
alakazam,knock-off
alakazam,skill-swap
alakazam,snatch
alakazam,signal-beam
alakazam,shock-wave
alakazam,gravity
alakazam,drain-punch
alakazam,zen-headbutt
alakazam,wonder-room
alakazam,telekinesis
alakazam,magic-room
alakazam,foul-play
alakazam,ally-switch
alakazam,laser-focus
alakazam-mega,fire-punch
alakazam-mega,ice-punch
alakazam-mega,thunder-punch
alakazam-mega,snore
alakazam-mega,iron-tail
alakazam-mega,focus-punch
alakazam-mega,trick
alakazam-mega,role-play
alakazam-mega,magic-coat
alakazam-mega,recycle
alakazam-mega,knock-off
alakazam-mega,skill-swap
alakazam-mega,snatch
alakazam-mega,signal-beam
alakazam-mega,shock-wave
alakazam-mega,gravity
alakazam-mega,drain-punch
alakazam-mega,zen-headbutt
alakazam-mega,wonder-room
alakazam-mega,telekinesis
alakazam-mega,magic-room
alakazam-mega,foul-play
alakazam-mega,ally-switch
alakazam-mega,laser-focus
machop,fire-punch
machop,ice-punch
machop,thunder-punch
machop,low-kick
machop,snore
machop,focus-punch
machop,helping-hand
machop,role-play
machop,superpower
machop,knock-off
machop,dual-chop
machoke,fire-punch
machoke,ice-punch
machoke,thunder-punch
machoke,low-kick
machoke,snore
machoke,focus-punch
machoke,helping-hand
machoke,role-play
machoke,superpower
machoke,knock-off
machoke,dual-chop
machoke,stomping-tantrum
machamp,fire-punch
machamp,ice-punch
machamp,thunder-punch
machamp,low-kick
machamp,snore
machamp,focus-punch
machamp,helping-hand
machamp,role-play
machamp,superpower
machamp,knock-off
machamp,dual-chop
machamp,throat-chop
machamp,stomping-tantrum
bellsprout,bind
bellsprout,snore
bellsprout,giga-drain
bellsprout,synthesis
bellsprout,knock-off
bellsprout,gastro-acid
bellsprout,worry-seed
bellsprout,seed-bomb
weepinbell,bind
weepinbell,snore
weepinbell,giga-drain
weepinbell,synthesis
weepinbell,knock-off
weepinbell,gastro-acid
weepinbell,worry-seed
weepinbell,seed-bomb
victreebel,bind
victreebel,snore
victreebel,giga-drain
victreebel,synthesis
victreebel,knock-off
victreebel,gastro-acid
victreebel,worry-seed
victreebel,seed-bomb
tentacool,bind
tentacool,snore
tentacool,icy-wind
tentacool,giga-drain
tentacool,magic-coat
tentacool,knock-off
tentacool,water-pulse
tentacruel,bind
tentacruel,snore
tentacruel,icy-wind
tentacruel,giga-drain
tentacruel,magic-coat
tentacruel,knock-off
tentacruel,water-pulse
geodude,fire-punch
geodude,thunder-punch
geodude,snore
geodude,focus-punch
geodude,superpower
geodude,iron-defense
geodude,block
