pokemon_identifier,move_identifier,level
charizard-mega-y,fury-swipes,20
charizard-mega-y,dragon-rage,26
charizard-mega-y,fire-spin,33
charizard-mega-y,slash,43
charizard-mega-y,flamethrower,54
charizard-mega-y,air-slash,62
charizard-mega-y,flare-blitz,75
squirtle,tackle,1
squirtle,tail-whip,5
squirtle,bubble,9
squirtle,withdraw,14
squirtle,water-gun,18
squirtle,bite,23
squirtle,bubble-beam,27
squirtle,protect,32
squirtle,headbutt,36
squirtle,hydro-pump,41
squirtle,skull-bash,45
wartortle,tackle,1
wartortle,tail-whip,1
wartortle,bubble,1
wartortle,withdraw,1
wartortle,tail-whip,5
wartortle,bubble,9
wartortle,withdraw,14
wartortle,water-gun,20
wartortle,bite,27
wartortle,bubble-beam,33
wartortle,protect,40
wartortle,headbutt,46
wartortle,hydro-pump,53
wartortle,skull-bash,59
blastoise,flash-cannon,1
blastoise,fake-out,1
blastoise,aqua-jet,1
blastoise,tackle,1
blastoise,tail-whip,1
blastoise,bubble,1
blastoise,withdraw,1
blastoise,tail-whip,5
blastoise,bubble,9
blastoise,withdraw,14
blastoise,water-gun,20
blastoise,bite,27
blastoise,bubble-beam,33
blastoise,protect,44
blastoise,headbutt,54
blastoise,hydro-pump,65
blastoise,skull-bash,75
blastoise-mega,flash-cannon,1
blastoise-mega,fake-out,1
blastoise-mega,aqua-jet,1
blastoise-mega,tackle,1
blastoise-mega,tail-whip,1
blastoise-mega,bubble,1
blastoise-mega,withdraw,1
blastoise-mega,tail-whip,5
blastoise-mega,bubble,9
blastoise-mega,withdraw,14
blastoise-mega,water-gun,20
blastoise-mega,bite,27
blastoise-mega,bubble-beam,33
blastoise-mega,protect,44
blastoise-mega,headbutt,54
blastoise-mega,hydro-pump,65
blastoise-mega,skull-bash,75
caterpie,tackle,1
caterpie,string-shot,1
metapod,harden,1
butterfree,gust,1
butterfree,confusion,1
butterfree,poison-powder,13
butterfree,stun-spore,13
butterfree,sleep-powder,13
butterfree,psybeam,16
butterfree,supersonic,19
butterfree,quiver-dance,22
butterfree,whirlwind,25
butterfree,air-slash,28
butterfree,bug-buzz,31
weedle,poison-sting,1
weedle,string-shot,1
kakuna,harden,1
beedrill,twineedle,1
beedrill,peck,1
beedrill,rage,13
beedrill,fury-attack,16
beedrill,focus-energy,19
beedrill,poison-jab,22
beedrill,agility,25
beedrill,pin-missile,28
beedrill,outrage,31
beedrill-mega,twineedle,1
beedrill-mega,peck,1
beedrill-mega,rage,13
beedrill-mega,fury-attack,16
beedrill-mega,focus-energy,19
beedrill-mega,poison-jab,22
beedrill-mega,agility,25
beedrill-mega,pin-missile,28
beedrill-mega,outrage,31
pidgey,tackle,1
pidgey,sand-attack,3
pidgey,gust,5
pidgey,mirror-move,9
pidgey,quick-attack,11
pidgey,wing-attack,15
pidgey,roost,17
pidgey,whirlwind,21
pidgey,agility,23
pidgey,air-slash,27
pidgey,razor-wind,29
pidgeotto,tackle,1
pidgeotto,sand-attack,1
pidgeotto,gust,1
pidgeotto,quick-attack,1
pidgeotto,sand-attack,3
pidgeotto,gust,5
pidgeotto,quick-attack,9
pidgeotto,mirror-move,11
pidgeotto,wing-attack,15
pidgeotto,roost,17
pidgeotto,whirlwind,25
pidgeotto,agility,31
pidgeotto,air-slash,39
pidgeotto,razor-wind,45
pidgeot,sky-attack,1
pidgeot,heat-wave,1
pidgeot,tackle,1
pidgeot,sand-attack,1
pidgeot,gust,1
pidgeot,quick-attack,1
pidgeot,sand-attack,3
pidgeot,gust,5
pidgeot,quick-attack,9
pidgeot,mirror-move,11
pidgeot,wing-attack,15
pidgeot,roost,17
pidgeot,whirlwind,25
pidgeot,agility,31
pidgeot,air-slash,43
pidgeot,razor-wind,53
pidgeot-mega,sky-attack,1
pidgeot-mega,heat-wave,1
pidgeot-mega,tackle,1
pidgeot-mega,sand-attack,1
pidgeot-mega,gust,1
pidgeot-mega,quick-attack,1
pidgeot-mega,sand-attack,3
pidgeot-mega,gust,5
pidgeot-mega,quick-attack,9
pidgeot-mega,mirror-move,11
pidgeot-mega,wing-attack,15
pidgeot-mega,roost,17
pidgeot-mega,whirlwind,25
pidgeot-mega,agility,31
pidgeot-mega,air-slash,43
pidgeot-mega,razor-wind,53
rattata,tackle,1
rattata,tail-whip,3
rattata,quick-attack,6
rattata,focus-energy,9
rattata,bite,12
rattata,super-fang,15
rattata,crunch,18
rattata,hyper-fang,21
rattata,sucker-punch,24
rattata,double-edge,27
rattata-alola,tackle,1
rattata-alola,tail-whip,3
rattata-alola,quick-attack,6
rattata-alola,focus-energy,9
rattata-alola,bite,12
rattata-alola,super-fang,15
rattata-alola,crunch,18
rattata-alola,hyper-fang,21
rattata-alola,sucker-punch,24
rattata-alola,double-edge,27
raticate,swords-dance,1
raticate,counter,1
raticate,fury-swipes,1
raticate,tackle,1
raticate,tail-whip,1
raticate,quick-attack,1
raticate,focus-energy,1
raticate,tail-whip,3
raticate,quick-attack,6
raticate,focus-energy,9
raticate,bite,12
raticate,super-fang,15
raticate,crunch,18
raticate,hyper-fang,26
raticate,sucker-punch,34
raticate,double-edge,42
raticate-alola,swords-dance,1
raticate-alola,counter,1
raticate-alola,fury-swipes,1
raticate-alola,tackle,1
raticate-alola,tail-whip,1
raticate-alola,quick-attack,1
raticate-alola,focus-energy,1
raticate-alola,tail-whip,3
raticate-alola,quick-attack,6
raticate-alola,focus-energy,9
raticate-alola,bite,12
raticate-alola,super-fang,15
raticate-alola,crunch,18
raticate-alola,hyper-fang,26
raticate-alola,sucker-punch,34
raticate-alola,double-edge,42
spearow,peck,1
spearow,growl,3
spearow,leer,8
spearow,focus-energy,11
spearow,fury-attack,16
spearow,mirror-move,19
spearow,roost,24
spearow,agility,27
spearow,drill-peck,32
fearow,sky-attack,1
fearow,drill-run,1
fearow,quick-attack,1
fearow,peck,1
fearow,growl,1
fearow,leer,1
fearow,focus-energy,1
fearow,growl,3
fearow,leer,8
fearow,focus-energy,11
fearow,fury-attack,16
fearow,mirror-move,19
fearow,roost,29
fearow,agility,37
fearow,drill-peck,47
ekans,wrap,1
ekans,poison-sting,1
ekans,leer,4
ekans,acid,8
ekans,bite,12
ekans,haze,16
ekans,glare,20
ekans,poison-jab,24
ekans,slam,28
ekans,screech,32
ekans,toxic,36
arbok,crunch,1
arbok,sucker-punch,1
arbok,wrap,1
arbok,poison-sting,1
arbok,leer,1
arbok,acid,1
arbok,leer,4
arbok,acid,9
arbok,bite,12
arbok,haze,16
arbok,glare,20
arbok,poison-jab,28
arbok,slam,36
arbok,screech,44
arbok,toxic,52
pichu,thunder-shock,1
pichu,tail-whip,1
pichu,play-nice,4
pichu,sweet-kiss,8
pichu,nuzzle,12
pichu,nasty-plot,16
pichu,charm,20
pichu-spiky-eared,thunder-shock,1
pichu-spiky-eared,charm,1
pichu-spiky-eared,tail-whip,5
pichu-spiky-eared,thunder-wave,10
pichu-spiky-eared,sweet-kiss,13
pichu-spiky-eared,nasty-plot,18
pikachu,thunder-shock,1
pikachu,growl,1
pikachu,tail-whip,3
pikachu,quick-attack,6
pikachu,double-kick,9
pikachu,double-team,12
pikachu,thunder-wave,15
pikachu,light-screen,18
pikachu,thunderbolt,21
pikachu,slam,24
pikachu,agility,27
pikachu,thunder,30
pikachu-cosplay,tail-whip,1
pikachu-cosplay,thunder-shock,1
pikachu-cosplay,growl,5
pikachu-cosplay,play-nice,7
pikachu-cosplay,quick-attack,10
pikachu-cosplay,electro-ball,13
pikachu-cosplay,thunder-wave,18
pikachu-cosplay,feint,21
pikachu-cosplay,double-team,23
pikachu-cosplay,spark,26
pikachu-cosplay,nuzzle,29
pikachu-cosplay,discharge,34
pikachu-cosplay,slam,37
pikachu-cosplay,thunderbolt,42
pikachu-cosplay,agility,45
pikachu-cosplay,wild-charge,50
pikachu-cosplay,light-screen,53
pikachu-cosplay,thunder,58
pikachu-rock-star,tail-whip,1
pikachu-rock-star,thunder-shock,1
pikachu-rock-star,growl,5
pikachu-rock-star,play-nice,7
pikachu-rock-star,quick-attack,10
pikachu-rock-star,electro-ball,13
pikachu-rock-star,thunder-wave,18
pikachu-rock-star,feint,21
pikachu-rock-star,double-team,23
pikachu-rock-star,spark,26
pikachu-rock-star,nuzzle,29
pikachu-rock-star,discharge,34
pikachu-rock-star,slam,37
pikachu-rock-star,thunderbolt,42
pikachu-rock-star,agility,45
pikachu-rock-star,wild-charge,50
pikachu-rock-star,light-screen,53
pikachu-rock-star,thunder,58
pikachu-belle,tail-whip,1
pikachu-belle,thunder-shock,1
pikachu-belle,growl,5
pikachu-belle,play-nice,7
pikachu-belle,quick-attack,10
pikachu-belle,electro-ball,13
pikachu-belle,thunder-wave,18
pikachu-belle,feint,21
pikachu-belle,double-team,23
pikachu-belle,spark,26
pikachu-belle,nuzzle,29
pikachu-belle,discharge,34
pikachu-belle,slam,37
pikachu-belle,thunderbolt,42
pikachu-belle,agility,45
pikachu-belle,wild-charge,50
pikachu-belle,light-screen,53
pikachu-belle,thunder,58
pikachu-pop-star,tail-whip,1
pikachu-pop-star,thunder-shock,1
pikachu-pop-star,growl,5
pikachu-pop-star,play-nice,7
pikachu-pop-star,quick-attack,10
pikachu-pop-star,electro-ball,13
pikachu-pop-star,thunder-wave,18
pikachu-pop-star,feint,21
pikachu-pop-star,double-team,23
pikachu-pop-star,spark,26
pikachu-pop-star,nuzzle,29
pikachu-pop-star,discharge,34
pikachu-pop-star,slam,37
pikachu-pop-star,thunderbolt,42
pikachu-pop-star,agility,45
pikachu-pop-star,wild-charge,50
pikachu-pop-star,light-screen,53
pikachu-pop-star,thunder,58
pikachu-ph-d,tail-whip,1
pikachu-ph-d,thunder-shock,1
pikachu-ph-d,growl,5
pikachu-ph-d,play-nice,7
pikachu-ph-d,quick-attack,10
pikachu-ph-d,electro-ball,13
pikachu-ph-d,thunder-wave,18
pikachu-ph-d,feint,21
pikachu-ph-d,double-team,23
pikachu-ph-d,spark,26
pikachu-ph-d,nuzzle,29
pikachu-ph-d,discharge,34
pikachu-ph-d,slam,37
pikachu-ph-d,thunderbolt,42
pikachu-ph-d,agility,45
pikachu-ph-d,wild-charge,50
pikachu-ph-d,light-screen,53
pikachu-ph-d,thunder,58
pikachu-libre,tail-whip,1
pikachu-libre,thunder-shock,1
pikachu-libre,growl,5
pikachu-libre,play-nice,7
pikachu-libre,quick-attack,10
pikachu-libre,electro-ball,13
pikachu-libre,thunder-wave,18
pikachu-libre,feint,21
pikachu-libre,double-team,23
pikachu-libre,spark,26
pikachu-libre,nuzzle,29
pikachu-libre,discharge,34
pikachu-libre,slam,37
pikachu-libre,thunderbolt,42
pikachu-libre,agility,45
pikachu-libre,wild-charge,50
pikachu-libre,light-screen,53
pikachu-libre,thunder,58
pikachu-original-cap,play-nice,1
pikachu-original-cap,sweet-kiss,1
pikachu-original-cap,nuzzle,1
pikachu-original-cap,nasty-plot,1
pikachu-original-cap,charm,1
pikachu-original-cap,thunder-shock,1
pikachu-original-cap,tail-whip,1
pikachu-original-cap,growl,1
pikachu-original-cap,quick-attack,1
pikachu-original-cap,thunder-wave,4
pikachu-original-cap,double-team,8
pikachu-original-cap,electro-ball,12
pikachu-original-cap,feint,16
pikachu-original-cap,spark,20
pikachu-original-cap,agility,24
pikachu-original-cap,slam,28
pikachu-original-cap,discharge,32
pikachu-original-cap,thunderbolt,36
pikachu-original-cap,light-screen,40
pikachu-original-cap,thunder,44
pikachu-hoenn-cap,play-nice,1
pikachu-hoenn-cap,sweet-kiss,1
pikachu-hoenn-cap,nuzzle,1
pikachu-hoenn-cap,nasty-plot,1
pikachu-hoenn-cap,charm,1
pikachu-hoenn-cap,thunder-shock,1
pikachu-hoenn-cap,tail-whip,1
pikachu-hoenn-cap,growl,1
pikachu-hoenn-cap,quick-attack,1
pikachu-hoenn-cap,thunder-wave,4
pikachu-hoenn-cap,double-team,8
pikachu-hoenn-cap,electro-ball,12
pikachu-hoenn-cap,feint,16
pikachu-hoenn-cap,spark,20
pikachu-hoenn-cap,agility,24
pikachu-hoenn-cap,slam,28
pikachu-hoenn-cap,discharge,32
pikachu-hoenn-cap,thunderbolt,36
pikachu-hoenn-cap,light-screen,40
pikachu-hoenn-cap,thunder,44
pikachu-sinnoh-cap,play-nice,1
pikachu-sinnoh-cap,sweet-kiss,1
pikachu-sinnoh-cap,nuzzle,1
pikachu-sinnoh-cap,nasty-plot,1
pikachu-sinnoh-cap,charm,1
pikachu-sinnoh-cap,thunder-shock,1
pikachu-sinnoh-cap,tail-whip,1
pikachu-sinnoh-cap,growl,1
pikachu-sinnoh-cap,quick-attack,1
pikachu-sinnoh-cap,thunder-wave,4
pikachu-sinnoh-cap,double-team,8
pikachu-sinnoh-cap,electro-ball,12
pikachu-sinnoh-cap,feint,16
pikachu-sinnoh-cap,spark,20
pikachu-sinnoh-cap,agility,24
pikachu-sinnoh-cap,slam,28
pikachu-sinnoh-cap,discharge,32
pikachu-sinnoh-cap,thunderbolt,36
pikachu-sinnoh-cap,light-screen,40
pikachu-sinnoh-cap,thunder,44
pikachu-unova-cap,play-nice,1
pikachu-unova-cap,sweet-kiss,1
pikachu-unova-cap,nuzzle,1
pikachu-unova-cap,nasty-plot,1
pikachu-unova-cap,charm,1
pikachu-unova-cap,thunder-shock,1
pikachu-unova-cap,tail-whip,1
pikachu-unova-cap,growl,1
pikachu-unova-cap,quick-attack,1
pikachu-unova-cap,thunder-wave,4
pikachu-unova-cap,double-team,8
pikachu-unova-cap,electro-ball,12
pikachu-unova-cap,feint,16
pikachu-unova-cap,spark,20
pikachu-unova-cap,agility,24
pikachu-unova-cap,slam,28
pikachu-unova-cap,discharge,32
pikachu-unova-cap,thunderbolt,36
pikachu-unova-cap,light-screen,40
pikachu-unova-cap,thunder,44
pikachu-kalos-cap,play-nice,1
pikachu-kalos-cap,sweet-kiss,1
pikachu-kalos-cap,nuzzle,1
pikachu-kalos-cap,nasty-plot,1
pikachu-kalos-cap,charm,1
pikachu-kalos-cap,thunder-shock,1
pikachu-kalos-cap,tail-whip,1
pikachu-kalos-cap,growl,1
pikachu-kalos-cap,quick-attack,1
pikachu-kalos-cap,thunder-wave,4
pikachu-kalos-cap,double-team,8
pikachu-kalos-cap,electro-ball,12
pikachu-kalos-cap,feint,16
pikachu-kalos-cap,spark,20
pikachu-kalos-cap,agility,24
pikachu-kalos-cap,slam,28
pikachu-kalos-cap,discharge,32
pikachu-kalos-cap,thunderbolt,36
pikachu-kalos-cap,light-screen,40
pikachu-kalos-cap,thunder,44
pikachu-alola-cap,play-nice,1
pikachu-alola-cap,sweet-kiss,1
pikachu-alola-cap,nuzzle,1
pikachu-alola-cap,nasty-plot,1
pikachu-alola-cap,charm,1
pikachu-alola-cap,thunder-shock,1
pikachu-alola-cap,tail-whip,1
pikachu-alola-cap,growl,1
pikachu-alola-cap,quick-attack,1
pikachu-alola-cap,thunder-wave,4
pikachu-alola-cap,double-team,8
pikachu-alola-cap,electro-ball,12
pikachu-alola-cap,feint,16
pikachu-alola-cap,spark,20
pikachu-alola-cap,agility,24
pikachu-alola-cap,slam,28
pikachu-alola-cap,discharge,32
pikachu-alola-cap,thunderbolt,36
pikachu-alola-cap,light-screen,40
pikachu-alola-cap,thunder,44
pikachu-partner-cap,play-nice,1
pikachu-partner-cap,sweet-kiss,1
pikachu-partner-cap,nuzzle,1
pikachu-partner-cap,nasty-plot,1
pikachu-partner-cap,charm,1
pikachu-partner-cap,thunder-shock,1
pikachu-partner-cap,tail-whip,1
pikachu-partner-cap,growl,1
pikachu-partner-cap,quick-attack,1
pikachu-partner-cap,thunder-wave,4
pikachu-partner-cap,double-team,8
pikachu-partner-cap,electro-ball,12
pikachu-partner-cap,feint,16
pikachu-partner-cap,spark,20
pikachu-partner-cap,agility,24
pikachu-partner-cap,slam,28
pikachu-partner-cap,discharge,32
pikachu-partner-cap,thunderbolt,36
pikachu-partner-cap,light-screen,40
pikachu-partner-cap,thunder,44
raichu,thunder-punch,1
raichu,encore,1
raichu,fake-out,1
raichu,thunder-shock,1
raichu,growl,1
raichu,tail-whip,1
raichu,quick-attack,1
raichu-alola,psychic,1
raichu-alola,encore,1
raichu-alola,fake-out,1
raichu-alola,thunder-shock,1
raichu-alola,growl,1
raichu-alola,tail-whip,1
raichu-alola,double-team,1
sandshrew,scratch,1
sandshrew,defense-curl,1
sandshrew,poison-sting,4
sandshrew,sand-attack,8
sandshrew,swift,12
sandshrew,fury-swipes,16
sandshrew,dig,20
sandshrew,protect,24
sandshrew,swords-dance,28
sandshrew,slash,32
sandshrew,earthquake,36
sandshrew-alola,scratch,1
sandshrew-alola,defense-curl,1
sandshrew-alola,bide,4
sandshrew-alola,ice-shard,8
sandshrew-alola,swift,12
sandshrew-alola,mirror-coat,16
sandshrew-alola,fury-swipes,20
sandshrew-alola,ice-punch,24
sandshrew-alola,swords-dance,28
sandshrew-alola,slash,32
sandshrew-alola,blizzard,36
sandslash,counter,1
sandslash,scratch,1
sandslash,defense-curl,1
sandslash,poison-sting,1
sandslash,sand-attack,1
sandslash,poison-sting,4
sandslash,sand-attack,8
sandslash,swift,12
sandslash,fury-swipes,16
sandslash,dig,20
sandslash,protect,28
sandslash,swords-dance,36
sandslash,slash,44
sandslash,earthquake,52
sandslash-alola,counter,1
sandslash-alola,scratch,1
sandslash-alola,defense-curl,1
sandslash-alola,bide,1
sandslash-alola,ice-shard,1
nidoran-female,growl,1
nidoran-female,scratch,1
nidoran-female,tail-whip,3
nidoran-female,poison-sting,6
nidoran-female,double-kick,9
nidoran-female,bite,12
nidoran-female,helping-hand,15
nidoran-female,toxic,18
nidoran-female,fury-swipes,21
nidoran-female,crunch,24
nidoran-female,super-fang,27
nidorina,growl,1
nidorina,scratch,1
nidorina,tail-whip,1
nidorina,poison-sting,1
nidorina,tail-whip,3
nidorina,poison-sting,6
nidorina,double-kick,9
nidorina,bite,12
nidorina,helping-hand,15
nidorina,toxic,23
nidorina,fury-swipes,31
nidorina,crunch,39
nidorina,super-fang,47
nidoqueen,body-slam,1
nidoqueen,supersonic,1
nidoqueen,counter,1
nidoqueen,growl,1
nidoqueen,scratch,1
nidoqueen,tail-whip,1
nidoqueen,poison-sting,1
nidoqueen,superpower,55
nidoran-male,leer,1
nidoran-male,peck,1
nidoran-male,focus-energy,3
nidoran-male,poison-sting,6
nidoran-male,double-kick,9
nidoran-male,horn-attack,12
nidoran-male,helping-hand,15
nidoran-male,toxic,18
nidoran-male,fury-attack,21
nidoran-male,poison-jab,24
nidoran-male,horn-drill,27
nidorino,leer,1
nidorino,peck,1
nidorino,focus-energy,1
nidorino,poison-sting,1
nidorino,focus-energy,3
nidorino,poison-sting,6
nidorino,double-kick,9
nidorino,horn-attack,12
nidorino,helping-hand,15
nidorino,toxic,23
nidorino,fury-attack,31
nidorino,poison-jab,39
nidorino,horn-drill,47
nidoking,thrash,1
nidoking,supersonic,1
nidoking,counter,1
nidoking,leer,1
nidoking,peck,1
nidoking,focus-energy,1
nidoking,poison-sting,1
nidoking,megahorn,55
cleffa,splash,1
cleffa,pound,1
cleffa,copycat,1
cleffa,sing,4
cleffa,sweet-kiss,8
cleffa,disarming-voice,12
cleffa,encore,16
cleffa,charm,20
clefairy,growl,1
clefairy,pound,1
clefairy,defense-curl,4
clefairy,sing,6
clefairy,minimize,10
clefairy,double-slap,12
clefairy,amnesia,16
clefairy,metronome,18
clefairy,encore,22
clefairy,body-slam,24
clefairy,moonblast,28
clefable,metronome,1
clefable,growl,1
clefable,pound,1
clefable,defense-curl,1
clefable,sing,1
vulpix,tackle,1
vulpix,tail-whip,3
vulpix,ember,7
vulpix,quick-attack,10
vulpix,confuse-ray,14
vulpix,will-o-wisp,17
vulpix,fire-spin,21
vulpix,flamethrower,24
vulpix,roar,28
vulpix,fire-blast,31
vulpix-alola,tackle,1
vulpix-alola,tail-whip,3
vulpix-alola,mist,7
vulpix-alola,ice-shard,10
vulpix-alola,confuse-ray,14
vulpix-alola,aurora-beam,17
vulpix-alola,dazzling-gleam,21
vulpix-alola,ice-beam,24
vulpix-alola,roar,28
vulpix-alola,blizzard,31
ninetales,hypnosis,1
ninetales,nasty-plot,1
ninetales,tackle,1
ninetales,tail-whip,1
ninetales,ember,1
ninetales,quick-attack,1
ninetales-alola,hypnosis,1
ninetales-alola,nasty-plot,1
ninetales-alola,tackle,1
ninetales-alola,tail-whip,1
ninetales-alola,mist,1
ninetales-alola,ice-shard,1
igglybuff,sing,1
igglybuff,charm,1
igglybuff,defense-curl,3
igglybuff,pound,5
igglybuff,sweet-kiss,9
igglybuff,copycat,11
jigglypuff,sing,1
jigglypuff,pound,4
jigglypuff,defense-curl,6
jigglypuff,bide,10
jigglypuff,double-slap,12
jigglypuff,disable,16
jigglypuff,rest,18
jigglypuff,body-slam,22
jigglypuff,mimic,24
jigglypuff,double-edge,28
wigglytuff,sing,1
wigglytuff,pound,1
wigglytuff,minimize,1
wigglytuff,bide,1
zubat,absorb,1
zubat,supersonic,1
zubat,wing-attack,4
zubat,bite,9
zubat,swift,12
zubat,confuse-ray,17
zubat,haze,20
zubat,leech-life,25
zubat,toxic,28
zubat,air-slash,33
golbat,crunch,1
golbat,whirlwind,1
golbat,quick-attack,1
golbat,absorb,1
golbat,supersonic,1
golbat,wing-attack,1
golbat,bite,1
golbat,wing-attack,4
golbat,bite,8
golbat,swift,12
golbat,confuse-ray,17
golbat,haze,20
golbat,leech-life,31
golbat,toxic,40
golbat,air-slash,51
crobat,cross-poison,1
crobat,screech,1
crobat,absorb,1
crobat,supersonic,1
crobat,astonish,1
crobat,bite,1
crobat,supersonic,5
crobat,astonish,7
crobat,bite,11
crobat,wing-attack,13
crobat,confuse-ray,17
crobat,air-cutter,19
crobat,swift,24
crobat,poison-fang,27
crobat,mean-look,32
crobat,leech-life,35
crobat,haze,40
crobat,venoshock,43
crobat,air-slash,48
crobat,quick-guard,51
oddish,absorb,1
oddish,growth,4
oddish,acid,8
oddish,poison-powder,12
oddish,stun-spore,13
oddish,sleep-powder,14
oddish,razor-leaf,18
oddish,mega-drain,22
oddish,toxic,26
oddish,moonblast,30
gloom,absorb,1
gloom,growth,1
gloom,acid,1
gloom,poison-powder,1
gloom,growth,4
gloom,acid,8
gloom,poison-powder,12
gloom,stun-spore,13
gloom,sleep-powder,14
gloom,razor-leaf,18
gloom,mega-drain,27
gloom,toxic,36
gloom,moonblast,45
vileplume,solar-beam,1
vileplume,absorb,1
vileplume,growth,1
vileplume,acid,1
vileplume,poison-powder,1
vileplume,petal-dance,54
bellossom,petal-blizzard,1
bellossom,quiver-dance,1
bellossom,mega-drain,1
bellossom,poison-powder,1
bellossom,stun-spore,1
bellossom,sleep-powder,1
bellossom,giga-drain,1
bellossom,toxic,1
bellossom,moonblast,1
bellossom,grassy-terrain,1
bellossom,moonlight,1
bellossom,petal-dance,1
bellossom,absorb,1
bellossom,growth,1
bellossom,acid,1
bellossom,sweet-scent,1
paras,scratch,1
paras,sleep-powder,2
paras,stun-spore,4
paras,poison-powder,6
paras,absorb,9
paras,growth,12
paras,fury-swipes,15
paras,slash,19
paras,leech-life,23
paras,spore,27
paras,x-scissor,31
parasect,leech-seed,1
parasect,screech,1
parasect,scratch,1
parasect,sleep-powder,1
parasect,stun-spore,1
parasect,poison-powder,1
parasect,sleep-powder,2
parasect,stun-spore,4
parasect,poison-powder,6
parasect,absorb,9
parasect,growth,12
parasect,fury-swipes,15
parasect,slash,19
parasect,leech-life,23
parasect,spore,33
parasect,x-scissor,43
venonat,tackle,1
venonat,disable,4
venonat,supersonic,8
venonat,confusion,12
venonat,poison-powder,14
venonat,stun-spore,16
venonat,psybeam,20
venonat,sleep-powder,24
venonat,leech-life,28
venonat,psychic,32
venomoth,gust,1
venomoth,agility,1
venomoth,screech,1
venomoth,tackle,1
venomoth,disable,1
venomoth,supersonic,1
venomoth,confusion,1
venomoth,disable,4
venomoth,supersonic,8
venomoth,confusion,12
venomoth,poison-powder,14
venomoth,stun-spore,16
venomoth,psybeam,20
venomoth,sleep-powder,24
venomoth,leech-life,28
venomoth,psychic,37
venomoth,bug-buzz,46
venomoth,quiver-dance,55
diglett,scratch,1
diglett,sand-attack,4
diglett,growl,8
diglett,agility,12
diglett,fury-swipes,15
diglett,dig,18
diglett,slash,21
diglett,sucker-punch,25
diglett,earthquake,29
diglett,fissure,33
diglett-alola,scratch,1
diglett-alola,sand-attack,4
diglett-alola,growl,8
diglett-alola,agility,12
diglett-alola,fury-swipes,15
