identifier,name,flavor_text
bad-dreams,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.
pickpocket,Pickpocket,Steals an item from an attacker that made direct contact.
sheer-force,Sheer Force,Removes additional effects to increase the power of moves when attacking.
contrary,Contrary,Makes stat changes have an opposite effect.
unnerve,Unnerve,Unnerves opposing Pokémon and makes them unable to eat Berries.
defiant,Defiant,Boosts the Pokémon’s Attack stat sharply when its stats are lowered.
defeatist,Defeatist,Halves the Pokémon’s Attack and Sp. Atk stats when its HP becomes half or less.
cursed-body,Cursed Body,May disable a move used on the Pokémon.
healer,Healer,Sometimes heals an ally’s status condition.
friend-guard,Friend Guard,Reduces damage done to allies.
weak-armor,Weak Armor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.
heavy-metal,Heavy Metal,Doubles the Pokémon’s weight.
light-metal,Light Metal,Halves the Pokémon’s weight.
multiscale,Multiscale,Reduces the amount of damage the Pokémon takes when its HP is full.
toxic-boost,Toxic Boost,Powers up physical attacks when the Pokémon is poisoned.
flare-boost,Flare Boost,Powers up special attacks when the Pokémon is burned.
harvest,Harvest,May create another Berry after one is used.
telepathy,Telepathy,Anticipates an ally’s attack and dodges it.
moody,Moody,Raises one stat sharply and lowers another every turn.
overcoat,Overcoat,"Protects the Pokémon from things like sand, hail, and powder."
poison-touch,Poison Touch,May poison a target when the Pokémon makes contact.
regenerator,Regenerator,Restores a little HP when withdrawn from battle.
big-pecks,Big Pecks,Protects the Pokémon from Defense-lowering effects.
sand-rush,Sand Rush,Boosts the Pokémon’s Speed stat in a sandstorm.
wonder-skin,Wonder Skin,Makes status moves more likely to miss.
analytic,Analytic,Boosts move power when the Pokémon moves last.
illusion,Illusion,Comes out disguised as the Pokémon in the party’s last spot.
imposter,Imposter,The Pokémon transforms itself into the Pokémon it’s facing.
infiltrator,Infiltrator,"Passes through the opposing Pokémon’s barrier, substitute, and the like and strikes."
mummy,Mummy,Contact with the Pokémon changes the attacker’s Ability to Mummy.
moxie,Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon."
justified,Justified,"Being hit by a [[types:Dark]]-type move boosts the Attack stat of the Pokémon, for justice."
rattled,Rattled,"[[types:Dark]]-, [[types:Ghost]]-, and [[types:Bug]]-type moves scare the Pokémon and boost its Speed stat."
magic-bounce,Magic Bounce,"Reflects status moves, instead of getting hit by them."
sap-sipper,Sap Sipper,"Boosts the Attack stat if hit by a [[types:Grass]]-type move, instead of taking damage."
prankster,Prankster,Gives priority to a status move.
sand-force,Sand Force,"Boosts the power of [[types:Rock]]-, [[types:Ground]]-, and [[types:Steel]]-type moves in a sandstorm."
iron-barbs,Iron Barbs,Inflicts damage to the attacker on contact with iron barbs.
zen-mode,Zen Mode,Changes the Pokémon’s shape when HP is half or less.
victory-star,Victory Star,Boosts the accuracy of its allies and itself.
turboblaze,Turboblaze,Moves can be used on the target regardless of its Abilities.
teravolt,Teravolt,Moves can be used on the target regardless of its Abilities.
aroma-veil,Aroma Veil,Protects itself and its allies from attacks that limit their move choices.
flower-veil,Flower Veil,Ally [[types:Grass]]-type Pokémon are protected from status conditions and the lowering of their stats.
cheek-pouch,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.
protean,Protean,Changes the Pokémon’s type to the type of the move it’s about to use.
fur-coat,Fur Coat,Halves the damage from physical moves.
magician,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
bulletproof,Bulletproof,Protects the Pokémon from some ball and bomb moves.
competitive,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.
strong-jaw,Strong Jaw,The Pokémon’s strong jaw boosts the power of its biting moves.
refrigerate,Refrigerate,[[types:Normal]]-type moves become [[types:Ice]]-type moves. The power of those moves is boosted a little.
sweet-veil,Sweet Veil,Prevents itself and ally Pokémon from falling asleep.
stance-change,Stance Change,"The Pokémon changes its form to Blade Forme when it uses an attack move, and changes to Shield Forme when it uses King’s Shield."
gale-wings,Gale Wings,Gives priority to [[types:Flying]]-type moves when the  Pokémon’s HP is full.
mega-launcher,Mega Launcher,Powers up aura and pulse moves.
grass-pelt,Grass Pelt,Boosts the Pokémon’s Defense stat in [[moves:Grassy Terrain]].
symbiosis,Symbiosis,The Pokémon passes its item to an ally that has used up an item.
tough-claws,Tough Claws,Powers up moves that make direct contact.
pixilate,Pixilate,[[types:Normal]]-type moves become [[types:Fairy]]-type moves. The power of those moves is boosted a little.
gooey,Gooey,Contact with the Pokémon lowers the attacker’s Speed stat.
aerilate,Aerilate,[[types:Normal]]-type moves become [[types:Flying]]-type moves. The power of those moves is boosted a little.
parental-bond,Parental Bond,Parent and child each attacks.
dark-aura,Dark Aura,Powers up each Pokémon’s [[types:Dark]]-type moves.
fairy-aura,Fairy Aura,Powers up each Pokémon’s [[types:Fairy]]-type moves.
aura-break,Aura Break,The effects of “Aura” Abilities are reversed to lower the power of affected moves.
primordial-sea,Primordial Sea,The Pokémon changes the weather to nullify [[types:Fire]]-type attacks.
desolate-land,Desolate Land,The Pokémon changes the weather to nullify [[types:Water]]-type attacks.
delta-stream,Delta Stream,The Pokémon changes the weather to eliminate all of the [[types:Flying]] type’s weaknesses.
stamina,Stamina,Boosts the Defense stat when hit by an attack.
wimp-out,Wimp Out,The Pokémon cowardly switches out when its HP becomes half or less.
emergency-exit,Emergency Exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less."
water-compaction,Water Compaction,Boosts the Pokémon’s Defense stat sharply when hit by a [[types:Water]]-type move.
merciless,Merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
shields-down,Shields Down,"When its HP becomes half or less, the Pokémon’s shell breaks and it becomes aggressive."
stakeout,Stakeout,Doubles the damage dealt to the target’s replacement if the target switches out.
water-bubble,Water Bubble,Lowers the power of [[types:Fire]]-type moves done to the Pokémon and prevents the Pokémon from getting a burn.
steelworker,Steelworker,Powers up [[types:Steel]]-type moves.
berserk,Berserk,Boosts the Pokémon’s Sp. Atk stat when it takes a  hit that causes its HP to become half or less.
slush-rush,Slush Rush,Boosts the Pokémon’s Speed stat in a hailstorm.
long-reach,Long Reach,The Pokémon uses its moves without making contact with the target.
liquid-voice,Liquid Voice,All sound-based moves become [[types:Water]]-type moves.
triage,Triage,Gives priority to a healing move.
galvanize,Galvanize,[[types:Normal]]-type moves become [[types:Electric]]-type moves. The power of those moves is boosted a little.
surge-surfer,Surge Surfer,Doubles the Pokémon’s Speed stat on [[moves:Electric Terrain]].
schooling,Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low."
disguise,Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack."
battle-bond,Battle Bond,"Defeating an opposing Pokémon strengthens the Pokémon’s bond with its Trainer, and it becomes Ash-Greninja. [[moves:Water Shuriken]] gets more powerful."
power-construct,Power Construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.
corrosion,Corrosion,The Pokémon can poison the target even if it’s a [[types:Steel]] or [[types:Poison]] type.
comatose,Comatose,It’s always drowsing and will never wake up. It can attack without waking up.
queenly-majesty,Queenly Majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves."
innards-out,Innards Out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
dancer,Dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed."
battery,Battery,Powers up ally Pokémon’s special moves.
fluffy,Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of [[types:Fire]]-type moves."
dazzling,Dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves."
soul-heart,Soul-Heart,Boosts its Sp. Atk stat every time a Pokémon faints.
tangling-hair,Tangling Hair,Contact with the Pokémon lowers the attacker’s Speed stat.
receiver,Receiver,The Pokémon copies the Ability of a defeated ally.
power-of-alchemy,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.
beast-boost,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
rks-system,RKS System,Changes the Pokémon’s type to match the memory disc it holds.
electric-surge,Electric Surge,Turns the ground into [[moves:Electric Terrain]] when the Pokémon enters a battle.
psychic-surge,Psychic Surge,Turns the ground into [[moves:Psychic Terrain]] when the Pokémon enters a battle.
misty-surge,Misty Surge,Turns the ground into [[moves:Misty Terrain]] when the Pokémon enters a battle.
grassy-surge,Grassy Surge,Turns the ground into [[moves:Grassy Terrain]] when the Pokémon enters a battle.
full-metal-body,Full Metal Body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
shadow-shield,Shadow Shield,Reduces the amount of damage the Pokémon takes while its HP is full.
prism-armor,Prism Armor,Reduces the power of supereffective attacks taken.
neuroforce,Neuroforce,Powers up moves that are super effective.
intrepid-sword,Intrepid Sword,Boosts the Pokémon's Attack stat when the Pokémon enters a battle.
dauntless-shield,Dauntless Shield,Boosts the Pokémon's Defense stat when the Pokémon enters a battle. 
libero,Libero,Changes the Pokémon's type to the type of the move it's about to use. 
ball-fetch,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
cotton-down,Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself. "
propeller-tail,Propeller Tail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves. 
mirror-armor,Mirror Armor,Bounces back only the stat-lowering effects that the Pokémon receives. 
gulp-missile,Gulp Missile,"When the Pokémon uses [[moves:Surf]] or [[moves:Dive]], it will come back with prey. When it takes damage, it will spit out the prey to attack. "
stalwart,Stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.
steam-engine,Steam Engine,Boosts the Pokémon's Speed stat drastically if hit by a [[types:Fire]]- or [[types:Water]]-type move. 
punk-rock,Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves. 
sand-spit,Sand Spit,The Pokémon creates a sandstorm when it's hit by an attack. 
ice-scales,Ice Scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves. "
ripen,Ripen,Ripens Berries and doubles their effect. 
ice-face,Ice Face,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it hails. "
power-spot,Power Spot,Just being next to the Pokémon powers up moves. 
mimicry,Mimicry,Changes the Pokémon's type depending on the terrain. 
screen-cleaner,Screen Cleaner,"When the Pokémon enters a battle, the effects of [[moves:Light Screen], [[moves:Reflect]], and [[moves:Aurora Veil]] are nullified for both opposing and ally Pokémon. "
steely-spirit,Steely Spirit,Powers up ally Pokémon's [[types:Steel]]-type moves. 
perish-body,Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle. "
wandering-spirit,Wandering Spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact. 
gorilla-tactics,Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move. 
neutralizing-gas,Neutralizing Gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon's Abilities will be nullified or will not be triggered. "
pastel-veil,Pastel Veil,Protects the Pokémon and its ally Pokémon from being poisoned. 
hunger-switch,Hunger Switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn. "
curious-medicine,Curious Medicine,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
transistor,Transistor,Powers up [[types:Electric-type]] moves.
dragons-maw,Dragon’s Maw,Powers up Dragon-type moves.
chilling-neigh,Chilling Neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat. "
grim-neigh,Grim Neigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat. "
