identifier,name,type,damage_class,power,accuracy,pp,priority,target_identifier,flavor_text
ice-beam,Ice Beam,ice,special,90,100,10,0,chosen,The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
blizzard,Blizzard,ice,special,110,70,5,0,all-opponents,A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
psybeam,Psybeam,psychic,special,65,100,20,0,chosen,The target is attacked with a peculiar ray. This may also leave the target confused.
bubble-beam,Bubble Beam,water,special,65,100,20,0,chosen,A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.
aurora-beam,Aurora Beam,ice,special,65,100,20,0,chosen,The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.
hyper-beam,Hyper Beam,normal,special,150,90,5,0,chosen,The target is attacked with a powerful beam. The user can’t move on the next turn.
peck,Peck,flying,physical,35,100,35,0,chosen,The target is jabbed with a sharply pointed beak or horn.
drill-peck,Drill Peck,flying,physical,80,100,20,0,chosen,A corkscrewing attack that strikes the target with a sharp beak acting as a drill.
submission,Submission,fighting,physical,80,80,20,0,chosen,The user grabs the target and recklessly dives for the ground. This also damages the user a little.
low-kick,Low Kick,fighting,physical,,100,20,0,chosen,"A powerful low kick that makes the target fall over. The heavier the target, the greater the move’s power."
counter,Counter,fighting,physical,,100,20,-5,unique,"A retaliation move that counters any physical attack, inflicting double the damage taken."
seismic-toss,Seismic Toss,fighting,physical,,100,20,0,chosen,The target is thrown using the power of gravity. It inflicts damage equal to the user’s level.
strength,Strength,normal,physical,80,100,15,0,chosen,The target is slugged with a punch thrown at maximum power.
absorb,Absorb,grass,special,20,100,25,0,chosen,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
mega-drain,Mega Drain,grass,special,40,100,15,0,chosen,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
leech-seed,Leech Seed,grass,status,,90,10,0,chosen,A seed is planted on the target. It steals some HP from the target every turn.
growth,Growth,normal,status,,,20,0,self,"The user’s body grows all at once, raising the Attack and Sp. Atk stats."
razor-leaf,Razor Leaf,grass,physical,55,95,25,0,all-opponents,Sharp-edged leaves are launched to slash at opposing Pokémon. Critical hits land more easily.
solar-beam,Solar Beam,grass,special,120,100,10,0,chosen,"In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn."
poison-powder,Poison Powder,poison,status,,75,35,0,chosen,The user scatters a cloud of poisonous dust that poisons the target.
stun-spore,Stun Spore,grass,status,,75,30,0,chosen,The user scatters a cloud of numbing powder that paralyzes the target.
sleep-powder,Sleep Powder,grass,status,,75,15,0,chosen,The user scatters a big cloud of sleep-inducing dust around the target.
petal-dance,Petal Dance,grass,special,120,100,10,0,random-opponent,The user attacks the target by scattering petals for two to three turns. The user then becomes confused.
string-shot,String Shot,bug,status,,95,40,0,all-opponents,Opposing Pokémon are bound with silk blown from the user’s mouth that harshly lowers the Speed stat.
dragon-rage,Dragon Rage,dragon,special,,100,10,0,chosen,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.
fire-spin,Fire Spin,fire,special,35,85,15,0,chosen,The target becomes trapped within a fierce vortex of fire that rages for four to five turns.
thunder-shock,Thunder Shock,electric,special,40,100,30,0,chosen,A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.
thunderbolt,Thunderbolt,electric,special,90,100,15,0,chosen,A strong electric blast crashes down on the target. This may also leave the target with paralysis.
thunder-wave,Thunder Wave,electric,status,,90,20,0,chosen,The user launches a weak jolt of electricity that paralyzes the target.
thunder,Thunder,electric,special,110,70,10,0,chosen,A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
rock-throw,Rock Throw,rock,physical,50,90,15,0,chosen,The user picks up and throws a small rock at the target to attack.
earthquake,Earthquake,ground,physical,100,100,10,0,all-others,The user sets off an earthquake that strikes every Pokémon around it.
fissure,Fissure,ground,physical,,30,5,0,chosen,The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.
dig,Dig,ground,physical,80,100,10,0,chosen,"The user burrows into the ground, then attacks on the next turn."
toxic,Toxic,poison,status,,90,10,0,chosen,A move that leaves the target badly poisoned. Its poison damage worsens every turn.
confusion,Confusion,psychic,special,50,100,25,0,chosen,The target is hit by a weak telekinetic force. This may also confuse the target.
psychic,Psychic,psychic,special,90,100,10,0,chosen,The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.
hypnosis,Hypnosis,psychic,status,,60,20,0,chosen,The user employs hypnotic suggestion to make the target fall into a deep sleep.
meditate,Meditate,psychic,status,,,40,0,self,The user meditates to awaken the power deep within its body and raise its Attack stat.
agility,Agility,psychic,status,,,30,0,self,The user relaxes and lightens its body to move faster. This sharply raises the Speed stat.
quick-attack,Quick Attack,normal,physical,40,100,30,1,chosen,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
rage,Rage,normal,physical,20,100,20,0,chosen,"As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle."
teleport,Teleport,psychic,status,,,20,-6,self,"The user switches places with a party Pokémon in waiting, if any. If a wild Pokémon uses this move, it flees."
night-shade,Night Shade,ghost,special,,100,15,0,chosen,The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.
mimic,Mimic,normal,status,,,10,0,chosen,The user copies the target’s last move. The move can be used during battle until the Pokémon is switched out.
screech,Screech,normal,status,,85,40,0,chosen,An earsplitting screech harshly lowers the target’s Defense stat.
double-team,Double Team,normal,status,,,15,0,self,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
recover,Recover,normal,status,,,10,0,self,"Restoring its own cells, the user restores its own HP by half of its max HP."
harden,Harden,normal,status,,,30,0,self,The user stiffens all the muscles in its body to raise its Defense stat.
minimize,Minimize,normal,status,,,10,0,self,"The user compresses its body to make itself look smaller, which sharply raises its evasiveness."
smokescreen,Smokescreen,normal,status,,100,20,0,chosen,The user releases an obscuring cloud of smoke or ink. This lowers the target’s accuracy.
confuse-ray,Confuse Ray,ghost,status,,100,10,0,chosen,The target is exposed to a sinister ray that triggers confusion.
withdraw,Withdraw,water,status,,,40,0,self,"The user withdraws its body into its hard shell, raising its Defense stat."
defense-curl,Defense Curl,normal,status,,,40,0,self,The user curls up to conceal weak spots and raise its Defense stat.
barrier,Barrier,psychic,status,,,20,0,self,The user throws up a sturdy wall that sharply raises its Defense stat.
light-screen,Light Screen,psychic,status,,,30,0,user-side,A wondrous wall of light is put up to reduce damage from special attacks for five turns.
haze,Haze,ice,status,,,30,0,both-sides,The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
reflect,Reflect,psychic,status,,,20,0,user-side,A wondrous wall of light is put up to reduce damage from physical attacks for five turns.
focus-energy,Focus Energy,normal,status,,,30,0,self,The user takes a deep breath and focuses so that critical hits land more easily.
bide,Bide,normal,physical,,,10,1,self,"The user endures attacks for two turns, then strikes back to cause double the damage taken."
metronome,Metronome,normal,status,,,10,0,self,The user waggles a finger and stimulates its brain into randomly using nearly any move.
mirror-move,Mirror Move,flying,status,,,20,0,chosen,The user counters the target by mimicking the target’s last move.
self-destruct,Self-Destruct,normal,physical,200,100,5,0,all-others,The user attacks everything around it by causing an explosion. The user faints upon using this move.
egg-bomb,Egg Bomb,normal,physical,100,75,10,0,chosen,A large egg is hurled at the target with maximum force to inflict damage.
lick,Lick,ghost,physical,30,100,30,0,chosen,"The target is licked with a long tongue, causing damage. This may also leave the target with paralysis."
smog,Smog,poison,special,30,70,20,0,chosen,The target is attacked with a discharge of filthy gases. This may also poison the target.
sludge,Sludge,poison,special,65,100,20,0,chosen,Unsanitary sludge is hurled at the target. This may also poison the target.
bone-club,Bone Club,ground,physical,65,85,20,0,chosen,The user clubs the target with a bone. This may also make the target flinch.
fire-blast,Fire Blast,fire,special,110,85,5,0,chosen,The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
waterfall,Waterfall,water,physical,80,100,15,0,chosen,The user charges at the target and may make it flinch.
clamp,Clamp,water,physical,35,85,15,0,chosen,The target is clamped and squeezed by the user’s very thick and sturdy shell for four to five turns.
swift,Swift,normal,special,60,,20,0,all-opponents,Star-shaped rays are shot at opposing Pokémon. This attack never misses.
skull-bash,Skull Bash,normal,physical,130,100,10,0,chosen,"The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn."
spike-cannon,Spike Cannon,normal,physical,20,100,15,0,chosen,Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
constrict,Constrict,normal,physical,10,100,35,0,chosen,"The target is attacked with long, creeping tentacles, vines, or the like. This may also lower the target’s  Speed stat."
amnesia,Amnesia,psychic,status,,,20,0,self,The user temporarily empties its mind to forget its concerns. This sharply raises the user’s Sp. Def stat.
kinesis,Kinesis,psychic,status,,80,15,0,chosen,The user distracts the target by bending a spoon. This lowers the target’s accuracy.
soft-boiled,Soft-Boiled,normal,status,,,10,0,self,The user restores its own HP by up to half of its max HP.
high-jump-kick,High Jump Kick,fighting,physical,130,90,10,0,chosen,"The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
glare,Glare,normal,status,,100,30,0,chosen,The user intimidates the target with the pattern on its belly to cause paralysis.
dream-eater,Dream Eater,psychic,special,100,100,15,0,chosen,The user eats the dreams of a sleeping target. The user’s HP is restored by half the damage taken by the target.
poison-gas,Poison Gas,poison,status,,90,40,0,all-opponents,"A cloud of poison gas is sprayed in the face of opposing Pokémon, poisoning those it hits."
barrage,Barrage,normal,physical,15,85,20,0,chosen,Round objects are hurled at the target to strike two to five times in a row.
leech-life,Leech Life,bug,physical,80,100,10,0,chosen,The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.
lovely-kiss,Lovely Kiss,normal,status,,75,10,0,chosen,"With a scary face, the user tries to force a kiss on the target. If it succeeds, the target falls asleep."
sky-attack,Sky Attack,flying,physical,140,90,5,0,chosen,A second-turn attack move where critical hits land more easily. This may also make the target flinch.
transform,Transform,normal,status,,,10,0,chosen,The user transforms into a copy of the target right down to having the same move set.
bubble,Bubble,water,special,40,100,30,0,all-opponents,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat.
dizzy-punch,Dizzy Punch,normal,physical,70,100,10,0,chosen,The target is hit with rhythmically launched punches. This may also leave the target confused.
spore,Spore,grass,status,,100,15,0,chosen,The user scatters bursts of spores that induce sleep.
flash,Flash,normal,status,,100,20,0,chosen,The user flashes a bright light that cuts the target’s accuracy.
psywave,Psywave,psychic,special,,100,15,0,chosen,The target is attacked with an odd psychic wave. The attack varies in intensity.
splash,Splash,normal,status,,,40,0,self,The user just flops and splashes around to no effect at all...
acid-armor,Acid Armor,poison,status,,,20,0,self,"The user alters its cellular structure to liquefy itself, sharply raising its Defense stat."
crabhammer,Crabhammer,water,physical,100,90,10,0,chosen,The target is hammered with a large pincer. Critical hits land more easily.
explosion,Explosion,normal,physical,250,100,5,0,all-others,The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.
fury-swipes,Fury Swipes,normal,physical,18,80,15,0,chosen,The target is raked with sharp claws or scythes quickly two to five times in a row.
bonemerang,Bonemerang,ground,physical,50,90,10,0,chosen,The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.
rest,Rest,psychic,status,,,10,0,self,The user goes to sleep for two turns. This fully restores the user’s HP and heals any status conditions.
rock-slide,Rock Slide,rock,physical,75,90,10,0,all-opponents,Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
hyper-fang,Hyper Fang,normal,physical,80,90,15,0,chosen,The user bites hard on the target with its sharp front fangs. This may also make the target flinch.
sharpen,Sharpen,normal,status,,,30,0,self,"The user makes its edges more jagged,  which raises its Attack stat."
conversion,Conversion,normal,status,,,30,0,self,The user changes its type to become the same type as the move at the top of the list of moves it knows.
tri-attack,Tri Attack,normal,special,80,100,10,0,chosen,"The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target."
super-fang,Super Fang,normal,physical,,90,10,0,chosen,The user chomps hard on the target with its sharp front fangs. This cuts the target’s HP in half.
slash,Slash,normal,physical,70,100,20,0,chosen,The target is attacked with a slash of claws or blades. Critical hits land more easily.
substitute,Substitute,normal,status,,,10,0,self,The user creates a substitute for itself using some of its HP. The substitute serves as the user’s decoy.
struggle,Struggle,normal,physical,50,,1,0,random-opponent,This attack is used in desperation only if the user has no PP. It also damages the user a little.
sketch,Sketch,normal,status,,,1,0,chosen,"It enables the user to permanently learn the move last used by the target. Once used, Sketch disappears."
triple-kick,Triple Kick,fighting,physical,10,90,10,0,chosen,A consecutive three-kick attack that becomes more powerful with each successful hit.
thief,Thief,dark,physical,60,100,25,0,chosen,The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.
spider-web,Spider Web,bug,status,,,10,0,chosen,"The user ensnares the target with thin, gooey silk so it can’t flee from battle."
mind-reader,Mind Reader,normal,status,,,5,0,chosen,The user senses the target’s movements with its mind to ensure its next attack does not miss the target.
nightmare,Nightmare,ghost,status,,100,15,0,chosen,A sleeping target sees a nightmare that inflicts some damage every turn.
flame-wheel,Flame Wheel,fire,physical,60,100,25,0,chosen,The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.
snore,Snore,normal,special,50,100,15,0,chosen,This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.
curse,Curse,ghost,status,,,10,0,unique,A move that works differently for the [[types:Ghost]] type than for all other types.
flail,Flail,normal,physical,,100,15,0,chosen,"The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power."
conversion-2,Conversion 2,normal,status,,,30,0,chosen,The user changes its type to make itself resistant to the type of the attack the target used last.
aeroblast,Aeroblast,flying,special,100,95,5,0,chosen,A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
cotton-spore,Cotton Spore,grass,status,,100,40,0,all-opponents,"The user releases cotton-like spores that cling to opposing Pokémon, which harshly lowers their Speed stats."
reversal,Reversal,fighting,physical,,100,15,0,chosen,An all-out attack that becomes more powerful the less HP the user has.
spite,Spite,ghost,status,,100,10,0,chosen,The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.
powder-snow,Powder Snow,ice,special,40,100,25,0,all-opponents,The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokémon.
protect,Protect,normal,status,,,10,4,self,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
mach-punch,Mach Punch,fighting,physical,40,100,30,1,chosen,The user throws a punch at blinding speed. This move always goes first.
scary-face,Scary Face,normal,status,,100,10,0,chosen,The user frightens the target with a scary face to harshly lower its Speed stat.
feint-attack,Feint Attack,dark,physical,60,,20,0,chosen,"The user approaches the target disarmingly, then throws a sucker punch. This attack never misses."
sweet-kiss,Sweet Kiss,fairy,status,,75,10,0,chosen,"The user kisses the target with a sweet, angelic cuteness that causes confusion."
belly-drum,Belly Drum,normal,status,,,10,0,self,The user maximizes its Attack stat in exchange for HP equal to half its max HP.
sludge-bomb,Sludge Bomb,poison,special,90,100,10,0,chosen,Unsanitary sludge is hurled at the target. This may also poison the target.
mud-slap,Mud-Slap,ground,special,20,100,10,0,chosen,The user hurls mud in the target’s face to inflict damage and lower its accuracy.
octazooka,Octazooka,water,special,65,85,10,0,chosen,The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.
spikes,Spikes,ground,status,,,20,0,other-side,The user lays a trap of spikes at the opposing team’s feet. The trap hurts Pokémon that switch into battle.
zap-cannon,Zap Cannon,electric,special,120,50,5,0,chosen,The user fires an electric blast like a cannon to inflict damage and cause paralysis.
foresight,Foresight,normal,status,,,40,0,chosen,Enables a [[types:Ghost]]-type target to be hit by [[types:Normal]]- and [[types:Fighting]]-type attacks. This also enables an evasive target to be hit.
destiny-bond,Destiny Bond,ghost,status,,,5,0,self,"After using this move, if the user faints, the Pokémon that landed the knockout hit also faints. Its chance of failing rises if it is used in succession."
perish-song,Perish Song,normal,status,,,5,0,all,"Any Pokémon that hears this song faints in three turns, unless it switches out of battle."
icy-wind,Icy Wind,ice,special,55,95,15,0,all-opponents,The user attacks with a gust of chilled air. This also lowers opposing Pokémon’s Speed stats.
detect,Detect,fighting,status,,,5,4,self,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
bone-rush,Bone Rush,ground,physical,25,90,10,0,chosen,The user strikes the target with a hard bone two to five times in a row.
lock-on,Lock-On,normal,status,,,5,0,chosen,The user takes sure aim at the target. This ensures the next attack does not miss the target.
outrage,Outrage,dragon,physical,120,100,10,0,random-opponent,The user rampages and attacks for two to three turns. The user then becomes confused.
sandstorm,Sandstorm,rock,status,,,10,0,both-sides,"A five-turn sandstorm is summoned to hurt all combatants except [[types:Rock]], [[types:Ground]], and [[types:Steel]] types. It raises the Sp. Def stat of [[types:Rock]] types."
giga-drain,Giga Drain,grass,special,75,100,10,0,chosen,A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
endure,Endure,normal,status,,,10,4,self,The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.
charm,Charm,fairy,status,,100,20,0,chosen,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target’s Attack stat."
rollout,Rollout,rock,physical,30,90,20,0,chosen,The user continually rolls into the target over five turns. It becomes more powerful each time it hits.
false-swipe,False Swipe,normal,physical,40,100,40,0,chosen,A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
swagger,Swagger,normal,status,,85,15,0,chosen,"The user enrages and confuses the target. However, this also sharply raises the target’s Attack stat."
milk-drink,Milk Drink,normal,status,,,10,0,self,The user restores its own HP by up to half of its max HP.
spark,Spark,electric,physical,65,100,20,0,chosen,The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.
fury-cutter,Fury Cutter,bug,physical,40,95,20,0,chosen,The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.
steel-wing,Steel Wing,steel,physical,70,90,25,0,chosen,The target is hit with wings of steel. This may also raise the user’s Defense stat.
mean-look,Mean Look,normal,status,,,5,0,chosen,"The user pins the target with a dark, arresting look. The target becomes unable to flee."
attract,Attract,normal,status,,100,15,0,chosen,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
sleep-talk,Sleep Talk,normal,status,,,10,0,self,"While it is asleep, the user randomly uses one of the moves it knows."
heal-bell,Heal Bell,normal,status,,,5,0,all-allies,The user makes a soothing bell chime to heal the status conditions of all the party Pokémon.
return,Return,normal,physical,,100,20,0,chosen,This full-power attack grows more powerful the more the user likes its Trainer.
present,Present,normal,physical,,90,15,0,chosen,"The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however."
frustration,Frustration,normal,physical,,100,20,0,chosen,This full-power attack grows more powerful the less the user likes its Trainer.
safeguard,Safeguard,normal,status,,,25,0,user-side,The user creates a protective field that prevents status conditions for five turns.
pain-split,Pain Split,normal,status,,,20,0,chosen,"The user adds its HP to the target’s HP, then equally shares the combined HP with the target."
sacred-fire,Sacred Fire,fire,physical,100,95,5,0,chosen,The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.
magnitude,Magnitude,ground,physical,,100,30,0,all-others,The user attacks everything around it with a ground-shaking quake. Its power varies.
dynamic-punch,Dynamic Punch,fighting,physical,100,50,5,0,chosen,"The user punches the target with full, concentrated power. This confuses the target if it hits."
megahorn,Megahorn,bug,physical,120,85,10,0,chosen,"Using its tough and impressive horn, the user rams into the target with no letup."
dragon-breath,Dragon Breath,dragon,special,60,100,20,0,chosen,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.
baton-pass,Baton Pass,normal,status,,,40,0,self,The user switches places with a party Pokémon in waiting and passes along any stat changes.
encore,Encore,normal,status,,100,5,0,chosen,The user compels the target to keep using the move it encored for three turns.
pursuit,Pursuit,dark,physical,40,100,20,0,chosen,The power of this attack move is doubled if it’s used on a target that’s switching out of battle.
rapid-spin,Rapid Spin,normal,physical,50,100,40,0,chosen,"A spin attack that can also eliminate such moves as [[moves:Bind]], [[moves:Wrap]], and [[moves:Leech Seed]]. This also raises the user’s Speed stat."
sweet-scent,Sweet Scent,normal,status,,100,20,0,all-opponents,A sweet scent that harshly lowers opposing Pokémon’s evasiveness.
iron-tail,Iron Tail,steel,physical,100,75,15,0,chosen,The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.
metal-claw,Metal Claw,steel,physical,50,95,35,0,chosen,The target is raked with steel claws. This may also raise the user’s Attack stat.
vital-throw,Vital Throw,fighting,physical,70,,10,-1,chosen,"The user attacks last. In return, this throw move never misses."
morning-sun,Morning Sun,normal,status,,,5,0,self,The user restores its own HP. The amount of HP regained varies with the weather.
synthesis,Synthesis,grass,status,,,5,0,self,The user restores its own HP. The amount of HP regained varies with the weather.
moonlight,Moonlight,fairy,status,,,5,0,self,The user restores its own HP. The amount of HP regained varies with the weather.
hidden-power,Hidden Power,normal,special,60,100,15,0,chosen,A unique attack that varies in type depending on the Pokémon using it.
cross-chop,Cross Chop,fighting,physical,100,80,5,0,chosen,The user delivers a double chop with its forearms crossed. Critical hits land more easily.
twister,Twister,dragon,special,40,100,20,0,all-opponents,The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.
rain-dance,Rain Dance,water,status,,,5,0,both-sides,"The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves."
