pokemon_identifier,move_identifier
wartortle,rock-slide
wartortle,substitute
wartortle,protect
wartortle,outrage
wartortle,iron-tail
wartortle,facade
wartortle,brick-break
wartortle,dragon-pulse
wartortle,scald
blastoise,ice-punch
blastoise,headbutt
blastoise,surf
blastoise,ice-beam
blastoise,blizzard
blastoise,hyper-beam
blastoise,seismic-toss
blastoise,earthquake
blastoise,dig
blastoise,toxic
blastoise,reflect
blastoise,waterfall
blastoise,rest
blastoise,rock-slide
blastoise,substitute
blastoise,protect
blastoise,outrage
blastoise,iron-tail
blastoise,facade
blastoise,brick-break
blastoise,dark-pulse
blastoise,dragon-pulse
blastoise,flash-cannon
blastoise,scald
blastoise,dragon-tail
blastoise-mega,ice-punch
blastoise-mega,headbutt
blastoise-mega,surf
blastoise-mega,ice-beam
blastoise-mega,blizzard
blastoise-mega,hyper-beam
blastoise-mega,seismic-toss
blastoise-mega,earthquake
blastoise-mega,dig
blastoise-mega,toxic
blastoise-mega,reflect
blastoise-mega,waterfall
blastoise-mega,rest
blastoise-mega,rock-slide
blastoise-mega,substitute
blastoise-mega,protect
blastoise-mega,outrage
blastoise-mega,iron-tail
blastoise-mega,facade
blastoise-mega,brick-break
blastoise-mega,dark-pulse
blastoise-mega,dragon-pulse
blastoise-mega,flash-cannon
blastoise-mega,scald
blastoise-mega,dragon-tail
caterpie,electroweb
metapod,iron-defense
metapod,electroweb
butterfree,headbutt
butterfree,hyper-beam
butterfree,mega-drain
butterfree,solar-beam
butterfree,toxic
butterfree,psychic
butterfree,teleport
butterfree,reflect
butterfree,dream-eater
butterfree,rest
butterfree,substitute
butterfree,protect
butterfree,shadow-ball
butterfree,facade
butterfree,roost
butterfree,u-turn
beedrill,headbutt
beedrill,hyper-beam
beedrill,mega-drain
beedrill,solar-beam
beedrill,toxic
beedrill,reflect
beedrill,rest
beedrill,substitute
beedrill,protect
beedrill,sludge-bomb
beedrill,outrage
beedrill,facade
beedrill,brick-break
beedrill,roost
beedrill,u-turn
beedrill,poison-jab
beedrill,x-scissor
beedrill,drill-run
beedrill-mega,headbutt
beedrill-mega,hyper-beam
beedrill-mega,mega-drain
beedrill-mega,solar-beam
beedrill-mega,toxic
beedrill-mega,reflect
beedrill-mega,rest
beedrill-mega,substitute
beedrill-mega,protect
beedrill-mega,sludge-bomb
beedrill-mega,outrage
beedrill-mega,facade
beedrill-mega,brick-break
beedrill-mega,roost
beedrill-mega,u-turn
beedrill-mega,poison-jab
beedrill-mega,x-scissor
beedrill-mega,drill-run
pidgey,fly
pidgey,headbutt
pidgey,toxic
pidgey,reflect
pidgey,rest
pidgey,substitute
pidgey,protect
pidgey,facade
pidgey,roost
pidgey,u-turn
pidgeotto,fly
pidgeotto,headbutt
pidgeotto,toxic
pidgeotto,reflect
pidgeotto,rest
pidgeotto,substitute
pidgeotto,protect
pidgeotto,facade
pidgeotto,roost
pidgeotto,u-turn
pidgeot,fly
pidgeot,headbutt
pidgeot,hyper-beam
pidgeot,toxic
pidgeot,reflect
pidgeot,rest
pidgeot,substitute
pidgeot,protect
pidgeot,facade
pidgeot,roost
pidgeot,u-turn
pidgeot-mega,fly
pidgeot-mega,headbutt
pidgeot-mega,hyper-beam
pidgeot-mega,toxic
pidgeot-mega,reflect
pidgeot-mega,rest
pidgeot-mega,substitute
pidgeot-mega,protect
pidgeot-mega,facade
pidgeot-mega,roost
pidgeot-mega,u-turn
rattata,headbutt
rattata,ice-beam
rattata,blizzard
rattata,thunderbolt
rattata,thunder-wave
rattata,thunder
rattata,dig
rattata,toxic
rattata,rest
rattata,substitute
rattata,protect
rattata,iron-tail
rattata,shadow-ball
rattata,facade
rattata,taunt
rattata,u-turn
rattata-alola,headbutt
rattata-alola,ice-beam
rattata-alola,blizzard
rattata-alola,dig
rattata-alola,toxic
rattata-alola,rest
rattata-alola,substitute
rattata-alola,protect
rattata-alola,sludge-bomb
rattata-alola,iron-tail
rattata-alola,shadow-ball
rattata-alola,facade
rattata-alola,taunt
rattata-alola,u-turn
rattata-alola,dark-pulse
raticate,headbutt
raticate,ice-beam
raticate,blizzard
raticate,hyper-beam
raticate,thunderbolt
raticate,thunder-wave
raticate,thunder
raticate,dig
raticate,toxic
raticate,rest
raticate,substitute
raticate,protect
raticate,iron-tail
raticate,shadow-ball
raticate,facade
raticate,taunt
raticate,u-turn
raticate-alola,headbutt
raticate-alola,ice-beam
raticate-alola,blizzard
raticate-alola,hyper-beam
raticate-alola,dig
raticate-alola,toxic
raticate-alola,rest
raticate-alola,substitute
raticate-alola,protect
raticate-alola,sludge-bomb
raticate-alola,iron-tail
raticate-alola,shadow-ball
raticate-alola,facade
raticate-alola,taunt
raticate-alola,bulk-up
raticate-alola,u-turn
raticate-alola,dark-pulse
spearow,fly
spearow,headbutt
spearow,toxic
spearow,rest
spearow,tri-attack
spearow,substitute
spearow,protect
spearow,facade
spearow,roost
spearow,u-turn
spearow,drill-run
fearow,fly
fearow,headbutt
fearow,hyper-beam
fearow,toxic
fearow,rest
fearow,tri-attack
fearow,substitute
fearow,protect
fearow,facade
fearow,roost
fearow,u-turn
fearow,drill-run
ekans,headbutt
ekans,mega-drain
ekans,earthquake
ekans,dig
ekans,toxic
ekans,rest
ekans,rock-slide
ekans,substitute
ekans,protect
ekans,sludge-bomb
ekans,iron-tail
ekans,facade
ekans,poison-jab
ekans,dark-pulse
arbok,headbutt
arbok,hyper-beam
arbok,mega-drain
arbok,earthquake
arbok,dig
arbok,toxic
arbok,rest
arbok,rock-slide
arbok,substitute
arbok,protect
arbok,sludge-bomb
arbok,iron-tail
arbok,facade
arbok,poison-jab
arbok,dark-pulse
arbok,dragon-tail
pichu,mega-punch
pichu,thunder-punch
pichu,mega-kick
pichu,body-slam
pichu,surf
pichu,thunderbolt
pichu,thunder-wave
pichu,thunder
pichu,light-screen
pichu,reflect
pichu,swift
pichu,rest
pichu,substitute
pichu,snore
pichu,reversal
pichu,protect
pichu,endure
pichu,charm
pichu,attract
pichu,sleep-talk
pichu,encore
pichu,iron-tail
pichu,rain-dance
pichu,uproar
pichu,facade
pichu,helping-hand
pichu,fling
pichu,nasty-plot
pichu,grass-knot
pichu,round
pichu,volt-switch
pichu,electroweb
pichu,wild-charge
pichu,play-rough
pichu,electric-terrain
pichu-spiky-eared,thunderbolt
pichu-spiky-eared,thunder-wave
pichu-spiky-eared,thunder
pichu-spiky-eared,toxic
pichu-spiky-eared,double-team
pichu-spiky-eared,light-screen
pichu-spiky-eared,flash
pichu-spiky-eared,rest
pichu-spiky-eared,substitute
pichu-spiky-eared,protect
pichu-spiky-eared,endure
pichu-spiky-eared,swagger
pichu-spiky-eared,attract
pichu-spiky-eared,sleep-talk
pichu-spiky-eared,return
pichu-spiky-eared,frustration
pichu-spiky-eared,iron-tail
pichu-spiky-eared,hidden-power
pichu-spiky-eared,rain-dance
pichu-spiky-eared,facade
pichu-spiky-eared,secret-power
pichu-spiky-eared,shock-wave
pichu-spiky-eared,natural-gift
pichu-spiky-eared,fling
pichu-spiky-eared,captivate
pichu-spiky-eared,grass-knot
pichu-spiky-eared,charge-beam
pikachu,pay-day
pikachu,thunder-punch
pikachu,headbutt
pikachu,seismic-toss
pikachu,thunderbolt
pikachu,thunder-wave
pikachu,thunder
pikachu,dig
pikachu,toxic
pikachu,light-screen
pikachu,reflect
pikachu,rest
pikachu,substitute
pikachu,protect
pikachu,iron-tail
pikachu,facade
pikachu,helping-hand
pikachu,brick-break
pikachu,calm-mind
pikachu-cosplay,strength
pikachu-cosplay,thunderbolt
pikachu-cosplay,thunder-wave
pikachu-cosplay,thunder
pikachu-cosplay,dig
pikachu-cosplay,toxic
pikachu-cosplay,double-team
pikachu-cosplay,light-screen
pikachu-cosplay,flash
pikachu-cosplay,rest
pikachu-cosplay,substitute
pikachu-cosplay,protect
pikachu-cosplay,swagger
pikachu-cosplay,attract
pikachu-cosplay,sleep-talk
pikachu-cosplay,return
pikachu-cosplay,frustration
pikachu-cosplay,hidden-power
pikachu-cosplay,rain-dance
pikachu-cosplay,rock-smash
pikachu-cosplay,facade
pikachu-cosplay,brick-break
pikachu-cosplay,secret-power
pikachu-cosplay,fling
pikachu-cosplay,grass-knot
pikachu-cosplay,charge-beam
pikachu-cosplay,round
pikachu-cosplay,echoed-voice
pikachu-cosplay,volt-switch
pikachu-cosplay,wild-charge
pikachu-cosplay,confide
pikachu-rock-star,strength
pikachu-rock-star,thunderbolt
pikachu-rock-star,thunder-wave
pikachu-rock-star,thunder
pikachu-rock-star,dig
pikachu-rock-star,toxic
pikachu-rock-star,double-team
pikachu-rock-star,light-screen
pikachu-rock-star,flash
pikachu-rock-star,rest
pikachu-rock-star,substitute
pikachu-rock-star,protect
pikachu-rock-star,swagger
pikachu-rock-star,attract
pikachu-rock-star,sleep-talk
pikachu-rock-star,return
pikachu-rock-star,frustration
pikachu-rock-star,hidden-power
pikachu-rock-star,rain-dance
pikachu-rock-star,rock-smash
pikachu-rock-star,facade
pikachu-rock-star,brick-break
pikachu-rock-star,secret-power
pikachu-rock-star,fling
pikachu-rock-star,grass-knot
pikachu-rock-star,charge-beam
pikachu-rock-star,round
pikachu-rock-star,echoed-voice
pikachu-rock-star,volt-switch
pikachu-rock-star,wild-charge
pikachu-rock-star,confide
pikachu-belle,strength
pikachu-belle,thunderbolt
pikachu-belle,thunder-wave
pikachu-belle,thunder
pikachu-belle,dig
pikachu-belle,toxic
pikachu-belle,double-team
pikachu-belle,light-screen
pikachu-belle,flash
pikachu-belle,rest
pikachu-belle,substitute
pikachu-belle,protect
pikachu-belle,swagger
pikachu-belle,attract
pikachu-belle,sleep-talk
pikachu-belle,return
pikachu-belle,frustration
pikachu-belle,hidden-power
pikachu-belle,rain-dance
pikachu-belle,rock-smash
pikachu-belle,facade
pikachu-belle,brick-break
pikachu-belle,secret-power
pikachu-belle,fling
pikachu-belle,grass-knot
pikachu-belle,charge-beam
pikachu-belle,round
pikachu-belle,echoed-voice
pikachu-belle,volt-switch
pikachu-belle,wild-charge
pikachu-belle,confide
pikachu-pop-star,strength
pikachu-pop-star,thunderbolt
pikachu-pop-star,thunder-wave
pikachu-pop-star,thunder
pikachu-pop-star,dig
pikachu-pop-star,toxic
pikachu-pop-star,double-team
pikachu-pop-star,light-screen
pikachu-pop-star,flash
pikachu-pop-star,rest
pikachu-pop-star,substitute
pikachu-pop-star,protect
pikachu-pop-star,swagger
pikachu-pop-star,attract
pikachu-pop-star,sleep-talk
pikachu-pop-star,return
pikachu-pop-star,frustration
pikachu-pop-star,hidden-power
pikachu-pop-star,rain-dance
pikachu-pop-star,rock-smash
pikachu-pop-star,facade
pikachu-pop-star,brick-break
pikachu-pop-star,secret-power
pikachu-pop-star,fling
pikachu-pop-star,grass-knot
pikachu-pop-star,charge-beam
pikachu-pop-star,round
pikachu-pop-star,echoed-voice
pikachu-pop-star,volt-switch
pikachu-pop-star,wild-charge
pikachu-pop-star,confide
pikachu-ph-d,strength
pikachu-ph-d,thunderbolt
pikachu-ph-d,thunder-wave
pikachu-ph-d,thunder
pikachu-ph-d,dig
pikachu-ph-d,toxic
pikachu-ph-d,double-team
pikachu-ph-d,light-screen
pikachu-ph-d,flash
pikachu-ph-d,rest
pikachu-ph-d,substitute
pikachu-ph-d,protect
pikachu-ph-d,swagger
pikachu-ph-d,attract
pikachu-ph-d,sleep-talk
pikachu-ph-d,return
pikachu-ph-d,frustration
pikachu-ph-d,hidden-power
pikachu-ph-d,rain-dance
pikachu-ph-d,rock-smash
pikachu-ph-d,facade
pikachu-ph-d,brick-break
pikachu-ph-d,secret-power
pikachu-ph-d,fling
pikachu-ph-d,grass-knot
pikachu-ph-d,charge-beam
pikachu-ph-d,round
pikachu-ph-d,echoed-voice
pikachu-ph-d,volt-switch
pikachu-ph-d,wild-charge
pikachu-ph-d,confide
pikachu-libre,strength
pikachu-libre,thunderbolt
pikachu-libre,thunder-wave
pikachu-libre,thunder
pikachu-libre,dig
pikachu-libre,toxic
pikachu-libre,double-team
pikachu-libre,light-screen
pikachu-libre,flash
pikachu-libre,rest
pikachu-libre,substitute
pikachu-libre,protect
pikachu-libre,swagger
pikachu-libre,attract
pikachu-libre,sleep-talk
pikachu-libre,return
pikachu-libre,frustration
pikachu-libre,hidden-power
pikachu-libre,rain-dance
pikachu-libre,rock-smash
pikachu-libre,facade
pikachu-libre,brick-break
pikachu-libre,secret-power
pikachu-libre,fling
pikachu-libre,grass-knot
pikachu-libre,charge-beam
pikachu-libre,round
pikachu-libre,echoed-voice
pikachu-libre,volt-switch
pikachu-libre,wild-charge
pikachu-libre,confide
pikachu-original-cap,mega-punch
pikachu-original-cap,pay-day
pikachu-original-cap,thunder-punch
pikachu-original-cap,mega-kick
pikachu-original-cap,body-slam
pikachu-original-cap,surf
pikachu-original-cap,thunderbolt
pikachu-original-cap,thunder-wave
pikachu-original-cap,thunder
pikachu-original-cap,dig
pikachu-original-cap,agility
pikachu-original-cap,light-screen
pikachu-original-cap,reflect
pikachu-original-cap,swift
pikachu-original-cap,rest
pikachu-original-cap,substitute
pikachu-original-cap,thief
pikachu-original-cap,snore
pikachu-original-cap,reversal
pikachu-original-cap,protect
pikachu-original-cap,endure
pikachu-original-cap,charm
pikachu-original-cap,attract
pikachu-original-cap,sleep-talk
pikachu-original-cap,encore
pikachu-original-cap,iron-tail
pikachu-original-cap,rain-dance
pikachu-original-cap,uproar
pikachu-original-cap,facade
pikachu-original-cap,helping-hand
pikachu-original-cap,brick-break
pikachu-original-cap,fling
pikachu-original-cap,nasty-plot
pikachu-original-cap,grass-knot
pikachu-original-cap,electro-ball
pikachu-original-cap,round
pikachu-original-cap,volt-switch
pikachu-original-cap,electroweb
pikachu-original-cap,wild-charge
pikachu-original-cap,draining-kiss
pikachu-original-cap,play-rough
pikachu-original-cap,electric-terrain
pikachu-hoenn-cap,mega-punch
pikachu-hoenn-cap,pay-day
pikachu-hoenn-cap,thunder-punch
pikachu-hoenn-cap,mega-kick
pikachu-hoenn-cap,body-slam
pikachu-hoenn-cap,surf
pikachu-hoenn-cap,thunderbolt
pikachu-hoenn-cap,thunder-wave
pikachu-hoenn-cap,thunder
pikachu-hoenn-cap,dig
pikachu-hoenn-cap,agility
pikachu-hoenn-cap,light-screen
pikachu-hoenn-cap,reflect
pikachu-hoenn-cap,swift
pikachu-hoenn-cap,rest
pikachu-hoenn-cap,substitute
pikachu-hoenn-cap,thief
pikachu-hoenn-cap,snore
pikachu-hoenn-cap,reversal
pikachu-hoenn-cap,protect
pikachu-hoenn-cap,endure
pikachu-hoenn-cap,charm
pikachu-hoenn-cap,attract
pikachu-hoenn-cap,sleep-talk
pikachu-hoenn-cap,encore
pikachu-hoenn-cap,iron-tail
pikachu-hoenn-cap,rain-dance
pikachu-hoenn-cap,uproar
pikachu-hoenn-cap,facade
pikachu-hoenn-cap,helping-hand
pikachu-hoenn-cap,brick-break
pikachu-hoenn-cap,fling
pikachu-hoenn-cap,nasty-plot
pikachu-hoenn-cap,grass-knot
pikachu-hoenn-cap,electro-ball
pikachu-hoenn-cap,round
pikachu-hoenn-cap,volt-switch
pikachu-hoenn-cap,electroweb
pikachu-hoenn-cap,wild-charge
pikachu-hoenn-cap,draining-kiss
pikachu-hoenn-cap,play-rough
pikachu-hoenn-cap,electric-terrain
pikachu-sinnoh-cap,mega-punch
pikachu-sinnoh-cap,pay-day
pikachu-sinnoh-cap,thunder-punch
pikachu-sinnoh-cap,mega-kick
pikachu-sinnoh-cap,body-slam
pikachu-sinnoh-cap,surf
pikachu-sinnoh-cap,thunderbolt
pikachu-sinnoh-cap,thunder-wave
pikachu-sinnoh-cap,thunder
pikachu-sinnoh-cap,dig
pikachu-sinnoh-cap,agility
pikachu-sinnoh-cap,light-screen
pikachu-sinnoh-cap,reflect
pikachu-sinnoh-cap,swift
pikachu-sinnoh-cap,rest
pikachu-sinnoh-cap,substitute
pikachu-sinnoh-cap,thief
pikachu-sinnoh-cap,snore
pikachu-sinnoh-cap,reversal
pikachu-sinnoh-cap,protect
pikachu-sinnoh-cap,endure
pikachu-sinnoh-cap,charm
pikachu-sinnoh-cap,attract
pikachu-sinnoh-cap,sleep-talk
pikachu-sinnoh-cap,encore
pikachu-sinnoh-cap,iron-tail
pikachu-sinnoh-cap,rain-dance
pikachu-sinnoh-cap,uproar
pikachu-sinnoh-cap,facade
pikachu-sinnoh-cap,helping-hand
pikachu-sinnoh-cap,brick-break
pikachu-sinnoh-cap,fling
pikachu-sinnoh-cap,nasty-plot
pikachu-sinnoh-cap,grass-knot
pikachu-sinnoh-cap,electro-ball
pikachu-sinnoh-cap,round
pikachu-sinnoh-cap,volt-switch
pikachu-sinnoh-cap,electroweb
pikachu-sinnoh-cap,wild-charge
pikachu-sinnoh-cap,draining-kiss
pikachu-sinnoh-cap,play-rough
pikachu-sinnoh-cap,electric-terrain
pikachu-unova-cap,mega-punch
pikachu-unova-cap,pay-day
pikachu-unova-cap,thunder-punch
pikachu-unova-cap,mega-kick
pikachu-unova-cap,body-slam
pikachu-unova-cap,surf
pikachu-unova-cap,thunderbolt
pikachu-unova-cap,thunder-wave
pikachu-unova-cap,thunder
pikachu-unova-cap,dig
pikachu-unova-cap,agility
pikachu-unova-cap,light-screen
pikachu-unova-cap,reflect
pikachu-unova-cap,swift
pikachu-unova-cap,rest
pikachu-unova-cap,substitute
pikachu-unova-cap,thief
pikachu-unova-cap,snore
pikachu-unova-cap,reversal
pikachu-unova-cap,protect
pikachu-unova-cap,endure
pikachu-unova-cap,charm
pikachu-unova-cap,attract
pikachu-unova-cap,sleep-talk
pikachu-unova-cap,encore
pikachu-unova-cap,iron-tail
pikachu-unova-cap,rain-dance
pikachu-unova-cap,uproar
pikachu-unova-cap,facade
pikachu-unova-cap,helping-hand
pikachu-unova-cap,brick-break
pikachu-unova-cap,fling
pikachu-unova-cap,nasty-plot
pikachu-unova-cap,grass-knot
pikachu-unova-cap,electro-ball
pikachu-unova-cap,round
pikachu-unova-cap,volt-switch
pikachu-unova-cap,electroweb
pikachu-unova-cap,wild-charge
pikachu-unova-cap,draining-kiss
pikachu-unova-cap,play-rough
pikachu-unova-cap,electric-terrain
pikachu-kalos-cap,mega-punch
pikachu-kalos-cap,pay-day
pikachu-kalos-cap,thunder-punch
pikachu-kalos-cap,mega-kick
pikachu-kalos-cap,body-slam
pikachu-kalos-cap,surf
pikachu-kalos-cap,thunderbolt
pikachu-kalos-cap,thunder-wave
pikachu-kalos-cap,thunder
pikachu-kalos-cap,dig
pikachu-kalos-cap,agility
pikachu-kalos-cap,light-screen
pikachu-kalos-cap,reflect
pikachu-kalos-cap,swift
pikachu-kalos-cap,rest
pikachu-kalos-cap,substitute
pikachu-kalos-cap,thief
pikachu-kalos-cap,snore
pikachu-kalos-cap,reversal
pikachu-kalos-cap,protect
pikachu-kalos-cap,endure
pikachu-kalos-cap,charm
pikachu-kalos-cap,attract
pikachu-kalos-cap,sleep-talk
pikachu-kalos-cap,encore
pikachu-kalos-cap,iron-tail
pikachu-kalos-cap,rain-dance
pikachu-kalos-cap,uproar
pikachu-kalos-cap,facade
pikachu-kalos-cap,helping-hand
pikachu-kalos-cap,brick-break
pikachu-kalos-cap,fling
pikachu-kalos-cap,nasty-plot
pikachu-kalos-cap,grass-knot
pikachu-kalos-cap,electro-ball
pikachu-kalos-cap,round
pikachu-kalos-cap,volt-switch
pikachu-kalos-cap,electroweb
pikachu-kalos-cap,wild-charge
pikachu-kalos-cap,draining-kiss
pikachu-kalos-cap,play-rough
pikachu-kalos-cap,electric-terrain
pikachu-alola-cap,mega-punch
pikachu-alola-cap,pay-day
pikachu-alola-cap,thunder-punch
pikachu-alola-cap,mega-kick
pikachu-alola-cap,body-slam
pikachu-alola-cap,surf
pikachu-alola-cap,thunderbolt
pikachu-alola-cap,thunder-wave
pikachu-alola-cap,thunder
pikachu-alola-cap,dig
pikachu-alola-cap,agility
pikachu-alola-cap,light-screen
pikachu-alola-cap,reflect
pikachu-alola-cap,swift
pikachu-alola-cap,rest
pikachu-alola-cap,substitute
pikachu-alola-cap,thief
pikachu-alola-cap,snore
pikachu-alola-cap,reversal
pikachu-alola-cap,protect
pikachu-alola-cap,endure
pikachu-alola-cap,charm
pikachu-alola-cap,attract
pikachu-alola-cap,sleep-talk
pikachu-alola-cap,encore
pikachu-alola-cap,iron-tail
pikachu-alola-cap,rain-dance
pikachu-alola-cap,uproar
pikachu-alola-cap,facade
pikachu-alola-cap,helping-hand
pikachu-alola-cap,brick-break
pikachu-alola-cap,fling
pikachu-alola-cap,nasty-plot
pikachu-alola-cap,grass-knot
pikachu-alola-cap,electro-ball
pikachu-alola-cap,round
pikachu-alola-cap,volt-switch
pikachu-alola-cap,electroweb
pikachu-alola-cap,wild-charge
pikachu-alola-cap,draining-kiss
pikachu-alola-cap,play-rough
pikachu-alola-cap,electric-terrain
pikachu-partner-cap,mega-punch
pikachu-partner-cap,pay-day
pikachu-partner-cap,thunder-punch
pikachu-partner-cap,mega-kick
pikachu-partner-cap,body-slam
pikachu-partner-cap,surf
pikachu-partner-cap,thunderbolt
pikachu-partner-cap,thunder-wave
pikachu-partner-cap,thunder
pikachu-partner-cap,dig
pikachu-partner-cap,agility
pikachu-partner-cap,light-screen
pikachu-partner-cap,reflect
pikachu-partner-cap,swift
pikachu-partner-cap,rest
pikachu-partner-cap,substitute
pikachu-partner-cap,thief
pikachu-partner-cap,snore
pikachu-partner-cap,reversal
pikachu-partner-cap,protect
pikachu-partner-cap,endure
pikachu-partner-cap,charm
pikachu-partner-cap,attract
pikachu-partner-cap,sleep-talk
pikachu-partner-cap,encore
pikachu-partner-cap,iron-tail
pikachu-partner-cap,rain-dance
pikachu-partner-cap,uproar
pikachu-partner-cap,facade
pikachu-partner-cap,helping-hand
pikachu-partner-cap,brick-break
pikachu-partner-cap,fling
pikachu-partner-cap,nasty-plot
pikachu-partner-cap,grass-knot
pikachu-partner-cap,electro-ball
pikachu-partner-cap,round
pikachu-partner-cap,volt-switch
pikachu-partner-cap,electroweb
pikachu-partner-cap,wild-charge
pikachu-partner-cap,draining-kiss
pikachu-partner-cap,play-rough
pikachu-partner-cap,electric-terrain
raichu,pay-day
raichu,thunder-punch
raichu,headbutt
raichu,hyper-beam
raichu,seismic-toss
raichu,thunderbolt
raichu,thunder-wave
raichu,thunder
raichu,dig
raichu,toxic
raichu,light-screen
raichu,reflect
raichu,rest
raichu,substitute
raichu,protect
raichu,iron-tail
raichu,facade
raichu,helping-hand
raichu,brick-break
raichu,calm-mind
raichu-alola,pay-day
raichu-alola,thunder-punch
raichu-alola,headbutt
raichu-alola,hyper-beam
raichu-alola,seismic-toss
raichu-alola,thunderbolt
raichu-alola,thunder-wave
raichu-alola,thunder
raichu-alola,dig
raichu-alola,toxic
raichu-alola,psychic
raichu-alola,teleport
raichu-alola,light-screen
raichu-alola,reflect
raichu-alola,rest
raichu-alola,substitute
raichu-alola,protect
raichu-alola,iron-tail
raichu-alola,facade
raichu-alola,helping-hand
raichu-alola,brick-break
raichu-alola,calm-mind
sandshrew,headbutt
sandshrew,seismic-toss
sandshrew,earthquake
sandshrew,dig
sandshrew,toxic
sandshrew,rest
sandshrew,rock-slide
sandshrew,substitute
sandshrew,protect
sandshrew,iron-tail
sandshrew,facade
sandshrew,brick-break
sandshrew,poison-jab
sandshrew,x-scissor
sandshrew,stealth-rock
