pokemon_identifier,stat_identifier,base_stat
pidgeot,hp,83
pidgeot,atk,80
pidgeot,def,75
pidgeot,spatk,70
pidgeot,spdef,70
pidgeot,spe,101
pidgeot-mega,hp,83
pidgeot-mega,atk,80
pidgeot-mega,def,80
pidgeot-mega,spatk,135
pidgeot-mega,spdef,80
pidgeot-mega,spe,121
rattata,hp,30
rattata,atk,56
rattata,def,35
rattata,spatk,25
rattata,spdef,35
rattata,spe,72
rattata-alola,hp,30
rattata-alola,atk,56
rattata-alola,def,35
rattata-alola,spatk,25
rattata-alola,spdef,35
rattata-alola,spe,72
raticate,hp,55
raticate,atk,81
raticate,def,60
raticate,spatk,50
raticate,spdef,70
raticate,spe,97
raticate-alola,hp,75
raticate-alola,atk,71
raticate-alola,def,70
raticate-alola,spatk,40
raticate-alola,spdef,80
raticate-alola,spe,77
spearow,hp,40
spearow,atk,60
spearow,def,30
spearow,spatk,31
spearow,spdef,31
spearow,spe,70
fearow,hp,65
fearow,atk,90
fearow,def,65
fearow,spatk,61
fearow,spdef,61
fearow,spe,100
ekans,hp,35
ekans,atk,60
ekans,def,44
ekans,spatk,40
ekans,spdef,54
ekans,spe,55
arbok,hp,60
arbok,atk,95
arbok,def,69
arbok,spatk,65
arbok,spdef,79
arbok,spe,80
pikachu,hp,35
pikachu,atk,55
pikachu,def,40
pikachu,spatk,50
pikachu,spdef,50
pikachu,spe,90
pikachu-cosplay,hp,35
pikachu-cosplay,atk,55
pikachu-cosplay,def,40
pikachu-cosplay,spatk,50
pikachu-cosplay,spdef,50
pikachu-cosplay,spe,90
pikachu-rock-star,hp,35
pikachu-rock-star,atk,55
pikachu-rock-star,def,40
pikachu-rock-star,spatk,50
pikachu-rock-star,spdef,50
pikachu-rock-star,spe,90
pikachu-belle,hp,35
pikachu-belle,atk,55
pikachu-belle,def,40
pikachu-belle,spatk,50
pikachu-belle,spdef,50
pikachu-belle,spe,90
pikachu-pop-star,hp,35
pikachu-pop-star,atk,55
pikachu-pop-star,def,40
pikachu-pop-star,spatk,50
pikachu-pop-star,spdef,50
pikachu-pop-star,spe,90
pikachu-ph-d,hp,35
pikachu-ph-d,atk,55
pikachu-ph-d,def,40
pikachu-ph-d,spatk,50
pikachu-ph-d,spdef,50
pikachu-ph-d,spe,90
pikachu-libre,hp,35
pikachu-libre,atk,55
pikachu-libre,def,40
pikachu-libre,spatk,50
pikachu-libre,spdef,50
pikachu-libre,spe,90
pikachu-original-cap,hp,35
pikachu-original-cap,atk,55
pikachu-original-cap,def,40
pikachu-original-cap,spatk,50
pikachu-original-cap,spdef,50
pikachu-original-cap,spe,90
pikachu-hoenn-cap,hp,35
pikachu-hoenn-cap,atk,55
pikachu-hoenn-cap,def,40
pikachu-hoenn-cap,spatk,50
pikachu-hoenn-cap,spdef,50
pikachu-hoenn-cap,spe,90
pikachu-sinnoh-cap,hp,35
pikachu-sinnoh-cap,atk,55
pikachu-sinnoh-cap,def,40
pikachu-sinnoh-cap,spatk,50
pikachu-sinnoh-cap,spdef,50
pikachu-sinnoh-cap,spe,90
pikachu-unova-cap,hp,35
pikachu-unova-cap,atk,55
pikachu-unova-cap,def,40
pikachu-unova-cap,spatk,50
pikachu-unova-cap,spdef,50
pikachu-unova-cap,spe,90
pikachu-kalos-cap,hp,35
pikachu-kalos-cap,atk,55
pikachu-kalos-cap,def,40
pikachu-kalos-cap,spatk,50
pikachu-kalos-cap,spdef,50
pikachu-kalos-cap,spe,90
pikachu-alola-cap,hp,35
pikachu-alola-cap,atk,55
pikachu-alola-cap,def,40
pikachu-alola-cap,spatk,50
pikachu-alola-cap,spdef,50
pikachu-alola-cap,spe,90
pikachu-partner-cap,hp,35
pikachu-partner-cap,atk,55
pikachu-partner-cap,def,40
pikachu-partner-cap,spatk,50
pikachu-partner-cap,spdef,50
pikachu-partner-cap,spe,90
pikachu-partner,hp,45
pikachu-partner,atk,80
pikachu-partner,def,50
pikachu-partner,spatk,75
pikachu-partner,spdef,60
pikachu-partner,spe,120
pikachu-gigantamax,hp,35
pikachu-gigantamax,atk,55
pikachu-gigantamax,def,40
pikachu-gigantamax,spatk,50
pikachu-gigantamax,spdef,50
pikachu-gigantamax,spe,90
raichu,hp,60
raichu,atk,90
raichu,def,55
raichu,spatk,90
raichu,spdef,80
raichu,spe,110
raichu-alola,hp,60
raichu-alola,atk,85
raichu-alola,def,50
raichu-alola,spatk,95
raichu-alola,spdef,85
raichu-alola,spe,110
sandshrew,hp,50
sandshrew,atk,75
sandshrew,def,85
sandshrew,spatk,20
sandshrew,spdef,30
sandshrew,spe,40
sandshrew-alola,hp,50
sandshrew-alola,atk,75
sandshrew-alola,def,90
sandshrew-alola,spatk,10
sandshrew-alola,spdef,35
sandshrew-alola,spe,40
sandslash,hp,75
sandslash,atk,100
sandslash,def,110
sandslash,spatk,45
sandslash,spdef,55
sandslash,spe,65
sandslash-alola,hp,75
sandslash-alola,atk,100
sandslash-alola,def,120
sandslash-alola,spatk,25
sandslash-alola,spdef,65
sandslash-alola,spe,65
nidoran-female,hp,55
nidoran-female,atk,47
nidoran-female,def,52
nidoran-female,spatk,40
nidoran-female,spdef,40
nidoran-female,spe,41
nidorina,hp,70
nidorina,atk,62
nidorina,def,67
nidorina,spatk,55
nidorina,spdef,55
nidorina,spe,56
nidoqueen,hp,90
nidoqueen,atk,92
nidoqueen,def,87
nidoqueen,spatk,75
nidoqueen,spdef,85
nidoqueen,spe,76
nidoran-male,hp,46
nidoran-male,atk,57
nidoran-male,def,40
nidoran-male,spatk,40
nidoran-male,spdef,40
nidoran-male,spe,50
nidorino,hp,61
nidorino,atk,72
nidorino,def,57
nidorino,spatk,55
nidorino,spdef,55
nidorino,spe,65
nidoking,hp,81
nidoking,atk,102
nidoking,def,77
nidoking,spatk,85
nidoking,spdef,75
nidoking,spe,85
clefairy,hp,70
clefairy,atk,45
clefairy,def,48
clefairy,spatk,60
clefairy,spdef,65
clefairy,spe,35
clefable,hp,95
clefable,atk,70
clefable,def,73
clefable,spatk,95
clefable,spdef,90
clefable,spe,60
vulpix,hp,38
vulpix,atk,41
vulpix,def,40
vulpix,spatk,50
vulpix,spdef,65
vulpix,spe,65
vulpix-alola,hp,38
vulpix-alola,atk,41
vulpix-alola,def,40
vulpix-alola,spatk,50
vulpix-alola,spdef,65
vulpix-alola,spe,65
ninetales,hp,73
ninetales,atk,76
ninetales,def,75
ninetales,spatk,81
ninetales,spdef,100
ninetales,spe,100
ninetales-alola,hp,73
ninetales-alola,atk,67
ninetales-alola,def,75
ninetales-alola,spatk,81
ninetales-alola,spdef,100
ninetales-alola,spe,109
jigglypuff,hp,115
jigglypuff,atk,45
jigglypuff,def,20
jigglypuff,spatk,45
jigglypuff,spdef,25
jigglypuff,spe,20
wigglytuff,hp,140
wigglytuff,atk,70
wigglytuff,def,45
wigglytuff,spatk,85
wigglytuff,spdef,50
wigglytuff,spe,45
zubat,hp,40
zubat,atk,45
zubat,def,35
zubat,spatk,30
zubat,spdef,40
zubat,spe,55
golbat,hp,75
golbat,atk,80
golbat,def,70
golbat,spatk,65
golbat,spdef,75
golbat,spe,90
oddish,hp,45
oddish,atk,50
oddish,def,55
oddish,spatk,75
oddish,spdef,65
oddish,spe,30
gloom,hp,60
gloom,atk,65
gloom,def,70
gloom,spatk,85
gloom,spdef,75
gloom,spe,40
vileplume,hp,75
vileplume,atk,80
vileplume,def,85
vileplume,spatk,110
vileplume,spdef,90
vileplume,spe,50
paras,hp,35
paras,atk,70
paras,def,55
paras,spatk,45
paras,spdef,55
paras,spe,25
parasect,hp,60
parasect,atk,95
parasect,def,80
parasect,spatk,60
parasect,spdef,80
parasect,spe,30
venonat,hp,60
venonat,atk,55
venonat,def,50
venonat,spatk,40
venonat,spdef,55
venonat,spe,45
venomoth,hp,70
venomoth,atk,65
venomoth,def,60
venomoth,spatk,90
venomoth,spdef,75
venomoth,spe,90
diglett,hp,10
diglett,atk,55
diglett,def,25
diglett,spatk,35
diglett,spdef,45
diglett,spe,95
diglett-alola,hp,10
diglett-alola,atk,55
diglett-alola,def,30
diglett-alola,spatk,35
diglett-alola,spdef,45
diglett-alola,spe,90
dugtrio,hp,35
dugtrio,atk,100
dugtrio,def,50
dugtrio,spatk,50
dugtrio,spdef,70
dugtrio,spe,120
dugtrio-alola,hp,35
dugtrio-alola,atk,100
dugtrio-alola,def,60
dugtrio-alola,spatk,50
dugtrio-alola,spdef,70
dugtrio-alola,spe,110
meowth,hp,40
meowth,atk,45
meowth,def,35
meowth,spatk,40
meowth,spdef,40
meowth,spe,90
meowth-alola,hp,40
meowth-alola,atk,35
meowth-alola,def,35
meowth-alola,spatk,50
meowth-alola,spdef,40
meowth-alola,spe,90
meowth-galar,hp,50
meowth-galar,atk,65
meowth-galar,def,55
meowth-galar,spatk,40
meowth-galar,spdef,40
meowth-galar,spe,40
meowth-gigantamax,hp,40
meowth-gigantamax,atk,45
meowth-gigantamax,def,35
meowth-gigantamax,spatk,40
meowth-gigantamax,spdef,40
meowth-gigantamax,spe,90
persian,hp,65
persian,atk,70
persian,def,60
persian,spatk,65
persian,spdef,65
persian,spe,115
persian-alola,hp,65
persian-alola,atk,60
persian-alola,def,60
persian-alola,spatk,75
persian-alola,spdef,65
persian-alola,spe,115
psyduck,hp,50
psyduck,atk,52
psyduck,def,48
psyduck,spatk,65
psyduck,spdef,50
psyduck,spe,55
golduck,hp,80
golduck,atk,82
golduck,def,78
golduck,spatk,95
golduck,spdef,80
golduck,spe,85
mankey,hp,40
mankey,atk,80
mankey,def,35
mankey,spatk,35
mankey,spdef,45
mankey,spe,70
primeape,hp,65
primeape,atk,105
primeape,def,60
primeape,spatk,60
primeape,spdef,70
primeape,spe,95
growlithe,hp,55
growlithe,atk,70
growlithe,def,45
growlithe,spatk,70
growlithe,spdef,50
growlithe,spe,60
arcanine,hp,90
arcanine,atk,110
arcanine,def,80
arcanine,spatk,100
arcanine,spdef,80
arcanine,spe,95
poliwag,hp,40
poliwag,atk,50
poliwag,def,40
poliwag,spatk,40
poliwag,spdef,40
poliwag,spe,90
poliwhirl,hp,65
poliwhirl,atk,65
poliwhirl,def,65
poliwhirl,spatk,50
poliwhirl,spdef,50
poliwhirl,spe,90
poliwrath,hp,90
poliwrath,atk,95
poliwrath,def,95
poliwrath,spatk,70
poliwrath,spdef,90
poliwrath,spe,70
abra,hp,25
abra,atk,20
abra,def,15
abra,spatk,105
abra,spdef,55
abra,spe,90
kadabra,hp,40
kadabra,atk,35
kadabra,def,30
kadabra,spatk,120
kadabra,spdef,70
kadabra,spe,105
alakazam,hp,55
alakazam,atk,50
alakazam,def,45
alakazam,spatk,135
alakazam,spdef,95
alakazam,spe,120
alakazam-mega,hp,55
alakazam-mega,atk,50
alakazam-mega,def,65
alakazam-mega,spatk,175
alakazam-mega,spdef,105
alakazam-mega,spe,150
machop,hp,70
machop,atk,80
machop,def,50
machop,spatk,35
machop,spdef,35
machop,spe,35
machoke,hp,80
machoke,atk,100
machoke,def,70
machoke,spatk,50
machoke,spdef,60
machoke,spe,45
machamp,hp,90
machamp,atk,130
machamp,def,80
machamp,spatk,65
machamp,spdef,85
machamp,spe,55
machamp-gigantamax,hp,90
machamp-gigantamax,atk,130
machamp-gigantamax,def,80
machamp-gigantamax,spatk,65
machamp-gigantamax,spdef,85
machamp-gigantamax,spe,55
bellsprout,hp,50
bellsprout,atk,75
bellsprout,def,35
bellsprout,spatk,70
bellsprout,spdef,30
bellsprout,spe,40
weepinbell,hp,65
weepinbell,atk,90
weepinbell,def,50
weepinbell,spatk,85
weepinbell,spdef,45
weepinbell,spe,55
victreebel,hp,80
victreebel,atk,105
victreebel,def,65
victreebel,spatk,100
victreebel,spdef,70
victreebel,spe,70
tentacool,hp,40
tentacool,atk,40
tentacool,def,35
tentacool,spatk,50
tentacool,spdef,100
tentacool,spe,70
tentacruel,hp,80
tentacruel,atk,70
tentacruel,def,65
tentacruel,spatk,80
tentacruel,spdef,120
tentacruel,spe,100
geodude,hp,40
geodude,atk,80
geodude,def,100
geodude,spatk,30
geodude,spdef,30
geodude,spe,20
geodude-alola,hp,40
geodude-alola,atk,80
geodude-alola,def,100
geodude-alola,spatk,30
geodude-alola,spdef,30
geodude-alola,spe,20
graveler,hp,55
graveler,atk,95
graveler,def,115
graveler,spatk,45
graveler,spdef,45
graveler,spe,35
graveler-alola,hp,55
graveler-alola,atk,95
graveler-alola,def,115
graveler-alola,spatk,45
graveler-alola,spdef,45
graveler-alola,spe,35
golem,hp,80
golem,atk,120
golem,def,130
golem,spatk,55
golem,spdef,65
golem,spe,45
golem-alola,hp,80
golem-alola,atk,120
golem-alola,def,130
golem-alola,spatk,55
golem-alola,spdef,65
golem-alola,spe,45
ponyta,hp,50
ponyta,atk,85
ponyta,def,55
ponyta,spatk,65
ponyta,spdef,65
ponyta,spe,90
ponyta-galar,hp,50
ponyta-galar,atk,85
ponyta-galar,def,55
ponyta-galar,spatk,65
ponyta-galar,spdef,65
ponyta-galar,spe,90
rapidash,hp,65
rapidash,atk,100
rapidash,def,70
rapidash,spatk,80
rapidash,spdef,80
rapidash,spe,105
rapidash-galar,hp,65
rapidash-galar,atk,100
rapidash-galar,def,70
rapidash-galar,spatk,80
rapidash-galar,spdef,80
rapidash-galar,spe,105
slowpoke,hp,90
slowpoke,atk,65
slowpoke,def,65
slowpoke,spatk,40
slowpoke,spdef,40
slowpoke,spe,15
slowpoke-galar,hp,90
slowpoke-galar,atk,65
slowpoke-galar,def,65
slowpoke-galar,spatk,40
slowpoke-galar,spdef,40
slowpoke-galar,spe,15
slowbro,hp,95
slowbro,atk,75
slowbro,def,110
slowbro,spatk,100
slowbro,spdef,80
slowbro,spe,30
slowbro-mega,hp,95
slowbro-mega,atk,75
slowbro-mega,def,180
slowbro-mega,spatk,130
slowbro-mega,spdef,80
slowbro-mega,spe,30
slowbro-galar,hp,95
slowbro-galar,atk,100
slowbro-galar,def,95
slowbro-galar,spatk,100
slowbro-galar,spdef,70
slowbro-galar,spe,30
magnemite,hp,25
magnemite,atk,35
magnemite,def,70
magnemite,spatk,95
magnemite,spdef,55
magnemite,spe,45
magneton,hp,50
magneton,atk,60
magneton,def,95
magneton,spatk,120
magneton,spdef,70
magneton,spe,70
farfetchd,hp,52
farfetchd,atk,90
farfetchd,def,55
farfetchd,spatk,58
farfetchd,spdef,62
farfetchd,spe,60
farfetchd-galar,hp,52
farfetchd-galar,atk,95
farfetchd-galar,def,55
farfetchd-galar,spatk,58
farfetchd-galar,spdef,62
farfetchd-galar,spe,55
doduo,hp,35
doduo,atk,85
doduo,def,45
doduo,spatk,35
doduo,spdef,35
doduo,spe,75
dodrio,hp,60
dodrio,atk,110
dodrio,def,70
dodrio,spatk,60
dodrio,spdef,60
dodrio,spe,110
seel,hp,65
seel,atk,45
seel,def,55
seel,spatk,45
seel,spdef,70
seel,spe,45
dewgong,hp,90
dewgong,atk,70
dewgong,def,80
dewgong,spatk,70
dewgong,spdef,95
dewgong,spe,70
grimer,hp,80
grimer,atk,80
grimer,def,50
grimer,spatk,40
grimer,spdef,50
grimer,spe,25
grimer-alola,hp,80
grimer-alola,atk,80
grimer-alola,def,50
grimer-alola,spatk,40
grimer-alola,spdef,50
grimer-alola,spe,25
muk,hp,105
muk,atk,105
muk,def,75
muk,spatk,65
muk,spdef,100
muk,spe,50
muk-alola,hp,105
muk-alola,atk,105
muk-alola,def,75
muk-alola,spatk,65
muk-alola,spdef,100
muk-alola,spe,50
shellder,hp,30
shellder,atk,65
shellder,def,100
shellder,spatk,45
shellder,spdef,25
shellder,spe,40
cloyster,hp,50
cloyster,atk,95
cloyster,def,180
cloyster,spatk,85
cloyster,spdef,45
cloyster,spe,70
gastly,hp,30
gastly,atk,35
gastly,def,30
gastly,spatk,100
gastly,spdef,35
gastly,spe,80
haunter,hp,45
haunter,atk,50
haunter,def,45
haunter,spatk,115
haunter,spdef,55
haunter,spe,95
gengar,hp,60
gengar,atk,65
gengar,def,60
gengar,spatk,130
gengar,spdef,75
gengar,spe,110
gengar-mega,hp,60
gengar-mega,atk,65
gengar-mega,def,80
gengar-mega,spatk,170
gengar-mega,spdef,95
gengar-mega,spe,130
gengar-gigantamax,hp,60
gengar-gigantamax,atk,65
gengar-gigantamax,def,60
gengar-gigantamax,spatk,130
gengar-gigantamax,spdef,75
gengar-gigantamax,spe,110
onix,hp,35
onix,atk,45
onix,def,160
onix,spatk,30
onix,spdef,45
onix,spe,70
drowzee,hp,60
drowzee,atk,48
drowzee,def,45
drowzee,spatk,43
drowzee,spdef,90
drowzee,spe,42
hypno,hp,85
hypno,atk,73
hypno,def,70
hypno,spatk,73
hypno,spdef,115
hypno,spe,67
krabby,hp,30
krabby,atk,105
krabby,def,90
krabby,spatk,25
krabby,spdef,25
krabby,spe,50
kingler,hp,55
kingler,atk,130
kingler,def,115
kingler,spatk,50
kingler,spdef,50
kingler,spe,75
kingler-gigantamax,hp,55
kingler-gigantamax,atk,130
kingler-gigantamax,def,115
kingler-gigantamax,spatk,50
kingler-gigantamax,spdef,50
kingler-gigantamax,spe,75
voltorb,hp,40
voltorb,atk,30
voltorb,def,50
voltorb,spatk,55
voltorb,spdef,55
voltorb,spe,100
electrode,hp,60
electrode,atk,50
electrode,def,70
electrode,spatk,80
electrode,spdef,80
electrode,spe,150
exeggcute,hp,60
exeggcute,atk,40
exeggcute,def,80
exeggcute,spatk,60
exeggcute,spdef,45
exeggcute,spe,40
exeggutor,hp,95
exeggutor,atk,95
exeggutor,def,85
exeggutor,spatk,125
exeggutor,spdef,75
exeggutor,spe,55
exeggutor-alola,hp,95
exeggutor-alola,atk,105
exeggutor-alola,def,85
exeggutor-alola,spatk,125
exeggutor-alola,spdef,75
exeggutor-alola,spe,45
cubone,hp,50
cubone,atk,50
cubone,def,95
cubone,spatk,40
cubone,spdef,50
cubone,spe,35
marowak,hp,60
marowak,atk,80
marowak,def,110
marowak,spatk,50
marowak,spdef,80
marowak,spe,45
marowak-alola,hp,60
marowak-alola,atk,80
marowak-alola,def,110
marowak-alola,spatk,50
marowak-alola,spdef,80
marowak-alola,spe,45
hitmonlee,hp,50
hitmonlee,atk,120
hitmonlee,def,53
hitmonlee,spatk,35
hitmonlee,spdef,110
hitmonlee,spe,87
hitmonchan,hp,50
hitmonchan,atk,105
hitmonchan,def,79
hitmonchan,spatk,35
hitmonchan,spdef,110
hitmonchan,spe,76
lickitung,hp,90
lickitung,atk,55
lickitung,def,75
lickitung,spatk,60
lickitung,spdef,75
lickitung,spe,30
koffing,hp,40
koffing,atk,65
koffing,def,95
koffing,spatk,60
koffing,spdef,45
koffing,spe,35
weezing,hp,65
weezing,atk,90
weezing,def,120
weezing,spatk,85
weezing,spdef,70
weezing,spe,60
weezing-galar,hp,65
weezing-galar,atk,90
weezing-galar,def,120
weezing-galar,spatk,85
weezing-galar,spdef,70
weezing-galar,spe,60
rhyhorn,hp,80
rhyhorn,atk,85
rhyhorn,def,95
rhyhorn,spatk,30
rhyhorn,spdef,30
rhyhorn,spe,25
rhydon,hp,105
rhydon,atk,130
rhydon,def,120
rhydon,spatk,45
rhydon,spdef,45
rhydon,spe,40
chansey,hp,250
chansey,atk,5
chansey,def,5
chansey,spatk,35
chansey,spdef,105
chansey,spe,50
tangela,hp,65
tangela,atk,55
tangela,def,115
tangela,spatk,100
tangela,spdef,40
tangela,spe,60
kangaskhan,hp,105
kangaskhan,atk,95
kangaskhan,def,80
kangaskhan,spatk,40
kangaskhan,spdef,80
kangaskhan,spe,90
kangaskhan-mega,hp,105
kangaskhan-mega,atk,125
kangaskhan-mega,def,100
kangaskhan-mega,spatk,60
kangaskhan-mega,spdef,100
kangaskhan-mega,spe,100
horsea,hp,30
horsea,atk,40
horsea,def,70
horsea,spatk,70
horsea,spdef,25
horsea,spe,60
seadra,hp,55
seadra,atk,65
seadra,def,95
seadra,spatk,95
seadra,spdef,45
seadra,spe,85
goldeen,hp,45
goldeen,atk,67
goldeen,def,60
goldeen,spatk,35
goldeen,spdef,50
goldeen,spe,63
seaking,hp,80
seaking,atk,92
seaking,def,65
seaking,spatk,65
seaking,spdef,80
seaking,spe,68
staryu,hp,30
staryu,atk,45
staryu,def,55
staryu,spatk,70
staryu,spdef,55
staryu,spe,85
starmie,hp,60
starmie,atk,75
starmie,def,85
starmie,spatk,100
starmie,spdef,85
starmie,spe,115
mr-mime,hp,40
mr-mime,atk,45
mr-mime,def,65
mr-mime,spatk,100
mr-mime,spdef,120
mr-mime,spe,90
mr-mime-galar,hp,50
mr-mime-galar,atk,65
mr-mime-galar,def,65
mr-mime-galar,spatk,90
mr-mime-galar,spdef,90
mr-mime-galar,spe,100
scyther,hp,70
scyther,atk,110
scyther,def,80
scyther,spatk,55
scyther,spdef,80
scyther,spe,105
jynx,hp,65
jynx,atk,50
jynx,def,35
jynx,spatk,115
jynx,spdef,95
jynx,spe,95
electabuzz,hp,65
electabuzz,atk,83
electabuzz,def,57
electabuzz,spatk,95
electabuzz,spdef,85
electabuzz,spe,105
magmar,hp,65
magmar,atk,95
magmar,def,57
magmar,spatk,100
magmar,spdef,85
magmar,spe,93
pinsir,hp,65
pinsir,atk,125
pinsir,def,100
pinsir,spatk,55
pinsir,spdef,70
pinsir,spe,85
pinsir-mega,hp,65
pinsir-mega,atk,155
pinsir-mega,def,120
pinsir-mega,spatk,65
pinsir-mega,spdef,90
pinsir-mega,spe,105
tauros,hp,75
tauros,atk,100
tauros,def,95
tauros,spatk,40
tauros,spdef,70
tauros,spe,110
magikarp,hp,20
magikarp,atk,10
magikarp,def,55
magikarp,spatk,15
magikarp,spdef,20
magikarp,spe,80
gyarados,hp,95
gyarados,atk,125
gyarados,def,79
gyarados,spatk,60
gyarados,spdef,100
gyarados,spe,81
gyarados-mega,hp,95
gyarados-mega,atk,155
gyarados-mega,def,109
gyarados-mega,spatk,70
gyarados-mega,spdef,130
gyarados-mega,spe,81
lapras,hp,130
lapras,atk,85
lapras,def,80
lapras,spatk,85
lapras,spdef,95
lapras,spe,60
lapras-gigantamax,hp,130
lapras-gigantamax,atk,85
lapras-gigantamax,def,80
lapras-gigantamax,spatk,85
lapras-gigantamax,spdef,95
lapras-gigantamax,spe,60
ditto,hp,48
ditto,atk,48
ditto,def,48
ditto,spatk,48
ditto,spdef,48
ditto,spe,48
eevee,hp,55
eevee,atk,55
eevee,def,50
eevee,spatk,45
eevee,spdef,65
eevee,spe,55
eevee-partner,hp,65
eevee-partner,atk,75
eevee-partner,def,70
eevee-partner,spatk,65
eevee-partner,spdef,85
eevee-partner,spe,75
eevee-gigantamax,hp,55
eevee-gigantamax,atk,55
eevee-gigantamax,def,50
eevee-gigantamax,spatk,45
eevee-gigantamax,spdef,65
eevee-gigantamax,spe,55
vaporeon,hp,130
vaporeon,atk,65
vaporeon,def,60
vaporeon,spatk,110
vaporeon,spdef,95
vaporeon,spe,65
jolteon,hp,65
jolteon,atk,65
jolteon,def,60
jolteon,spatk,110
jolteon,spdef,95
jolteon,spe,130
flareon,hp,65
flareon,atk,130
flareon,def,60
flareon,spatk,95
flareon,spdef,110
flareon,spe,65
porygon,hp,65
porygon,atk,60
porygon,def,70
porygon,spatk,85
porygon,spdef,75
porygon,spe,40
omanyte,hp,35
omanyte,atk,40
omanyte,def,100
omanyte,spatk,90
omanyte,spdef,55
omanyte,spe,35
omastar,hp,70
omastar,atk,60
omastar,def,125
omastar,spatk,115
omastar,spdef,70
omastar,spe,55
kabuto,hp,30
kabuto,atk,80
kabuto,def,90
kabuto,spatk,55
kabuto,spdef,45
kabuto,spe,55
kabutops,hp,60
kabutops,atk,115
kabutops,def,105
kabutops,spatk,65
kabutops,spdef,70
kabutops,spe,80
aerodactyl,hp,80
aerodactyl,atk,105
aerodactyl,def,65
aerodactyl,spatk,60
aerodactyl,spdef,75
aerodactyl,spe,130
aerodactyl-mega,hp,80
aerodactyl-mega,atk,135
aerodactyl-mega,def,85
aerodactyl-mega,spatk,70
aerodactyl-mega,spdef,95
aerodactyl-mega,spe,150
snorlax,hp,160
snorlax,atk,110
snorlax,def,65
snorlax,spatk,65
snorlax,spdef,110
snorlax,spe,30
snorlax-gigantamax,hp,160
snorlax-gigantamax,atk,110
snorlax-gigantamax,def,65
snorlax-gigantamax,spatk,65
snorlax-gigantamax,spdef,110
snorlax-gigantamax,spe,30
articuno,hp,90
articuno,atk,85
articuno,def,100
articuno,spatk,95
articuno,spdef,125
articuno,spe,85
articuno-galar,hp,90
