identifier,name,value,pocket,flavor_text
potion,Potion,200,Medicine,A spray-type medicine for treating wounds. It can be used to restore 20 HP to an injured Pokémon.
antidote,Antidote,200,Medicine,A spray-type medicine for poisoning. It can be used once to lift the effects of being poisoned from a Pokémon.
burn-heal,Burn Heal,300,Medicine,A spray-type medicine for treating burns. It can be used once to heal a Pokémon suffering from a burn.
ice-heal,Ice Heal,100,Medicine,A spray-type medicine for freezing. It can be used once to defrost a Pokémon that has been frozen solid.
awakening,Awakening,100,Medicine,A spray-type medicine used against sleep. It can be used once to rouse a Pokémon from the clutches of sleep.
paralyze-heal,Paralyze Heal,300,Medicine,A spray-type medicine for paralysis. It can be used once to free a Pokémon that has been paralyzed.
full-restore,Full Restore,3000,Medicine,A medicine that can be used to fully restore the HP of a single Pokémon and heal any status conditions it has.
max-potion,Max Potion,2500,Medicine,A spray-type medicine for treating wounds. It will completely restore the max HP of a single Pokémon.
hyper-potion,Hyper Potion,1500,Medicine,A spray-type medicine for treating wounds. It can be used to restore 120 HP to an injured Pokémon.
super-potion,Super Potion,700,Medicine,A spray-type medicine for treating wounds. It can be used to restore 60 HP to an injured Pokémon.
full-heal,Full Heal,400,Medicine,A spray-type medicine that is broadly effective. It can be used once to heal all the status conditions of a Pokémon.
revive,Revive,2000,Medicine,A medicine that can revive fainted Pokémon. It also restores half of a fainted Pokémon’s maximum HP.
max-revive,Max Revive,4000,Medicine,A medicine that can revive fainted Pokémon. It also fully restores a fainted Pokémon’s maximum HP.
fresh-water,Fresh Water,200,Medicine,"Water with a high mineral content. When consumed, it restores up to 30 HP to an injured Pokémon."
soda-pop,Soda Pop,300,Medicine,"A highly carbonated soda drink. When consumed, it restores up to 50 HP to an injured Pokémon."
lemonade,Lemonade,400,Medicine,"A very sweet and refreshing drink. When consumed, it restores up to 70 HP to an injured Pokémon."
moomoo-milk,Moomoo Milk,600,Medicine,"A bottle of highly nutritious milk. When consumed, it restores up to 100 HP to an injured Pokémon."
energy-powder,Energy Powder,500,Medicine,"A very bitter medicinal powder. When consumed, it restores up to 60 HP to an injured Pokémon."
energy-root,Energy Root,1200,Medicine,"An extremely bitter medicinal root. When consumed, it restores up to 120 HP to an injured Pokémon."
heal-powder,Heal Powder,300,Medicine,A very bitter medicinal powder. It can be used once to heal all the status conditions of a Pokémon.
revival-herb,Revival Herb,2800,Medicine,A terribly bitter medicinal herb. It revives a fainted Pokémon and fully restores its maximum HP.
ether,Ether,1200,Medicine,This medicine can restore 10 PP to a single selected move that has been learned by a Pokémon.
max-ether,Max Ether,2000,Medicine,This medicine can fully restore the PP of a single selected move that has been learned by a Pokémon.
elixir,Elixir,3000,Medicine,This medicine can restore 10 PP to each of the moves that have been learned by a Pokémon.
max-elixir,Max Elixir,4500,Medicine,This medicine can fully restore the PP of all of the moves that have been learned by a Pokémon.
lava-cookie,Lava Cookie,350,Medicine,Lavaridge Town’s local specialty. It can be used once to heal all the status conditions of a Pokémon.
berry-juice,Berry Juice,200,Medicine,"A 100 percent pure juice made of Berries. When consumed, it restores 20 HP to an injured Pokémon."
sacred-ash,Sacred Ash,50000,Medicine,"This rare ash can revive all fainted Pokémon in a party. In doing so, it also fully restores their maximum HP."
hp-up,HP Up,10000,Medicine,"A nutritious drink for Pokémon. When consumed, it raises the base HP of a single Pokémon."
protein,Protein,10000,Medicine,"A nutritious drink for Pokémon. When consumed, it raises the base Attack stat of a single Pokémon."
iron,Iron,10000,Medicine,"A nutritious drink for Pokémon. When consumed, it raises the base Defense stat of a single Pokémon."
carbos,Carbos,10000,Medicine,"A nutritious drink for Pokémon. When consumed, it raises the base Speed stat of a single Pokémon."
calcium,Calcium,10000,Medicine,"A nutritious drink for Pokémon. When consumed, it raises the base Sp. Atk stat of a single Pokémon."
rare-candy,Rare Candy,10000,Medicine,"A candy that is packed with energy. When consumed, it will instantly raise the level of a single Pokémon by one."
pp-up,PP Up,10000,Medicine,A medicine that can slightly raise the maximum PP of a single move that has been learned by the target Pokémon.
zinc,Zinc,10000,Medicine,"A nutritious drink for Pokémon. When consumed, it raises the base Sp. Def stat of a single Pokémon."
pp-max,PP Max,10000,Medicine,A medicine that can optimally raise the maximum PP of a single move that has been learned by the target Pokémon.
old-gateau,Old Gateau,350,Medicine,The Old Chateau’s hidden specialty. It can be used once to heal all the status conditions of a Pokémon.
guard-spec,Guard Spec.,1500,Battle Items,An item that prevents stat reduction among the Trainer’s party Pokémon for five turns after it is used in battle.
dire-hit,Dire Hit,1000,Battle Items,An item that raises the critical-hit ratio greatly. It can be used only once and wears off if the Pokémon is withdrawn.
x-attack,X Attack,1000,Battle Items,An item that sharply boosts the Attack stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
x-defense,X Defense,2000,Battle Items,An item that sharply boosts the Defense stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
x-speed,X Speed,1000,Battle Items,An item that sharply boosts the Speed stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
x-accuracy,X Accuracy,1000,Battle Items,An item that sharply boosts the accuracy of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
x-sp-atk,X Sp. Atk,1000,Battle Items,An item that sharply boosts the Sp. Atk stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
x-sp-def,X Sp. Def,2000,Battle Items,An item that sharply boosts the Sp. Def stat of a Pokémon during a battle. It wears off once the Pokémon is withdrawn.
poke-doll,Poké Doll,100,Items,A doll that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.
fluffy-tail,Fluffy Tail,100,Items,A toy that attracts the attention of a Pokémon. It guarantees escape from any battle with wild Pokémon.
blue-flute,Blue Flute,20,Battle Items,A flute made from blue glass that awakens sleeping Pokémon.
yellow-flute,Yellow Flute,20,Battle Items,A flute made from yellow glass that snaps Pokémon out of confusion.
red-flute,Red Flute,20,Battle Items,A flute made from red glass that snaps Pokémon out of infatuation.
black-flute,Black Flute,20,Items,A flute made from black glass. It makes it easier to encounter strong Pokémon in the place you use it.
white-flute,White Flute,20,Items,A flute made from white glass. It makes it easier to encounter weak Pokémon in the place you use it.
shoal-salt,Shoal Salt,20,Items,Salt that you found inside Shoal Cave.
shoal-shell,Shoal Shell,20,Items,A seashell that you found inside Shoal Cave.
red-shard,Red Shard,1000,Items,A small red shard. It appears to be a fragment of some sort of implement made long ago.
blue-shard,Blue Shard,1000,Items,A small blue shard. It appears to be a fragment of some sort of implement made long ago.
yellow-shard,Yellow Shard,1000,Items,A small yellow shard. It appears to be a fragment of some sort of implement made long ago.
green-shard,Green Shard,1000,Items,A small green shard. It appears to be a fragment of some sort of implement made long ago.
super-repel,Super Repel,700,Items,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Repel.
max-repel,Max Repel,900,Items,An item that prevents any low-level wild Pokémon from jumping out at you for a while. It lasts longer than Super Repel.
escape-rope,Escape Rope,1000,Items,A long and durable rope. Use it to escape instantly from a cave or a dungeon.
repel,Repel,400,Items,An item that prevents any low-level wild Pokémon from jumping out at you for a while.
sun-stone,Sun Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It burns as red as the evening sun.
moon-stone,Moon Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It is as black as the night sky.
fire-stone,Fire Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. The stone has a fiery orange heart.
thunder-stone,Thunder Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It has a distinct thunderbolt pattern.
water-stone,Water Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It is the blue of a pool of clear water.
leaf-stone,Leaf Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable leaf pattern.
tiny-mushroom,Tiny Mushroom,500,Items,A very small and rare mushroom. It’s popular with a certain class of collectors and sought out by them.
big-mushroom,Big Mushroom,5000,Items,A very large and rare mushroom. It’s popular with a certain class of collectors and sought out by them.
pearl,Pearl,2000,Items,A rather small pearl that has a very nice silvery sheen to it. It can be sold cheaply to shops.
big-pearl,Big Pearl,8000,Items,A rather large pearl that has a very nice silvery sheen. It can be sold to shops for a high price.
stardust,Stardust,3000,Items,"Lovely red sand that flows between the fingers with a loose, silky feel. It can be sold at a low price to shops."
star-piece,Star Piece,12000,Items,A small shard of a beautiful gem that demonstrates a distinctly red sparkle. It can be sold at a high price to shops.
nugget,Nugget,10000,Items,A nugget of the purest gold that gives off a lustrous gleam in direct light. It can be sold at a high price to shops.
heart-scale,Heart Scale,100,Items,"A pretty, heart-shaped scale that is extremely rare. Some people are happy to receive one."
honey,Honey,300,Items,"A sweet honey with a lush aroma that attracts wild Pokémon when it is used in tall grass, in caves, or on special trees."
growth-mulch,Growth Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
damp-mulch,Damp Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
stable-mulch,Stable Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
gooey-mulch,Gooey Mulch,200,Items,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
root-fossil,Root Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived in the sea. It looks as if it could be part of a plant’s root.
claw-fossil,Claw Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived in the sea. It appears to be a fragment of a claw.
helix-fossil,Helix Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived in the sea. It might be a piece of a seashell.
dome-fossil,Dome Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived in the sea. It could be a shell or carapace.
old-amber,Old Amber,10000,Items,"A piece of amber that still contains the genetic material of an ancient Pokémon. It’s clear with a tawny, reddish tint."
armor-fossil,Armor Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived on the land. It looks to be from some kind of protective collar.
skull-fossil,Skull Fossil,7000,Items,A fossil from a prehistoric Pokémon that once lived on the land. It appears as though it’s part of a head.
rare-bone,Rare Bone,5000,Items,A rare bone that is extremely valuable for the study of Pokémon archeology. It can be sold for a high price to shops.
shiny-stone,Shiny Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It shines with a dazzling light.
dusk-stone,Dusk Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It holds shadows as dark as can be.
dawn-stone,Dawn Stone,3000,Items,A peculiar stone that can make certain species of Pokémon evolve. It sparkles like a glittering eye.
oval-stone,Oval Stone,2000,Items,A peculiar stone that can make certain species of Pokémon evolve. It’s as round as a Pokémon Egg.
odd-keystone,Odd Keystone,2100,Items,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
adamant-orb,Adamant Orb,0,Items,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves when it is held.
lustrous-orb,Lustrous Orb,0,Items,A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves when it is held.
grass-mail,Grass Mail,50,Mail,Stationery featuring a print of a refreshingly green field. Let a Pokémon hold it for delivery.
flame-mail,Flame Mail,50,Mail,Stationery featuring a print of flames in blazing red. Let a Pokémon hold it for delivery.
bubble-mail,Bubble Mail,50,Mail,Stationery featuring a print of a blue world underwater. Let a Pokémon hold it for delivery.
bloom-mail,Bloom Mail,50,Mail,Stationery featuring a print of pretty floral patterns. Let a Pokémon hold it for delivery.
tunnel-mail,Tunnel Mail,50,Mail,Stationery featuring a print of a dimly lit coal mine. Let a Pokémon hold it for delivery.
steel-mail,Steel Mail,50,Mail,Stationery featuring a print of cool mechanical designs. Let a Pokémon hold it for delivery.
heart-mail,Heart Mail,50,Mail,Stationery featuring a print of giant heart patterns. Let a Pokémon hold it for delivery.
snow-mail,Snow Mail,50,Mail,"Stationery featuring a print of a chilly, snow-covered world. Let a Pokémon hold it for delivery."
space-mail,Space Mail,50,Mail,Stationery featuring a print depicting the huge expanse of space. Let a Pokémon hold it for delivery.
air-mail,Air Mail,50,Mail,Stationery featuring a print of colorful letter sets. Let a Pokémon hold it for delivery.
mosaic-mail,Mosaic Mail,50,Mail,Stationery featuring a print of a vivid rainbow pattern. Let a Pokémon hold it for delivery.
brick-mail,Brick Mail,50,Mail,Stationery featuring a print of a tough-looking brick pattern. Let a Pokémon hold it for delivery.
cheri-berry,Cheri Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from paralysis on its own in battle."
chesto-berry,Chesto Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from sleep on its own in battle."
pecha-berry,Pecha Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from poisoning on its own in battle."
rawst-berry,Rawst Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from a burn on its own in battle."
aspear-berry,Aspear Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from being frozen on its own in battle."
leppa-berry,Leppa Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore 10 PP to a depleted move during battle."
oran-berry,Oran Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore its own HP by 10 points during battle."
persim-berry,Persim Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from confusion on its own in battle."
lum-berry,Lum Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can recover from any status condition during battle."
sitrus-berry,Sitrus Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it can restore its own HP by a small amount during battle."
figy-berry,Figy Berry,20,Berries,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
wiki-berry,Wiki Berry,20,Berries,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
mago-berry,Mago Berry,20,Berries,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
aguav-berry,Aguav Berry,20,Berries,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
iapapa-berry,Iapapa Berry,20,Berries,"If held by a Pokémon, it restores the user’s HP in a pinch, but it will cause confusion if the user hates the taste."
razz-berry,Razz Berry,20,Berries,Used to make Pokéblocks that will enhance your Coolness. Its red flesh is spicy when eaten.
bluk-berry,Bluk Berry,20,Berries,Used to make Pokéblocks that will enhance your Beauty. Its blue flesh is sour when eaten.
nanab-berry,Nanab Berry,20,Berries,Used to make Pokéblocks that will enhance your Cuteness. Its pink flesh is sweet when eaten.
wepear-berry,Wepear Berry,20,Berries,Used to make Pokéblocks that will enhance your Cleverness. Its green flesh is bitter when eaten.
pinap-berry,Pinap Berry,20,Berries,Used to make Pokéblocks that will enhance your Toughness. Its yellow flesh is sour when eaten.
pomeg-berry,Pomeg Berry,20,Berries,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base HP.
kelpsy-berry,Kelpsy Berry,20,Berries,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Attack.
qualot-berry,Qualot Berry,20,Berries,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Defense.
hondew-berry,Hondew Berry,20,Berries,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Sp. Atk.
grepa-berry,Grepa Berry,20,Berries,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Sp. Def.
tamato-berry,Tamato Berry,20,Berries,A Berry to be consumed by Pokémon. Using it on a Pokémon makes it more friendly but lowers its base Speed.
cornn-berry,Cornn Berry,20,Berries,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions."
magost-berry,Magost Berry,20,Berries,"Used to make Pokéblocks that will enhance your Cuteness, this Berry is rare in other regions."
rabuta-berry,Rabuta Berry,20,Berries,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions."
nomel-berry,Nomel Berry,20,Berries,"Used to make Pokéblocks that will enhance your Toughness, this Berry is rare in other regions."
spelon-berry,Spelon Berry,20,Berries,"Used to make Pokéblocks that will enhance your Cuteness, this Berry is rare in other regions."
pamtre-berry,Pamtre Berry,20,Berries,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions."
watmel-berry,Watmel Berry,20,Berries,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions."
durin-berry,Durin Berry,20,Berries,"Used to make Pokéblocks that will enhance your Cleverness, this Berry is rare in other regions."
belue-berry,Belue Berry,20,Berries,"Used to make Pokéblocks that will enhance your Beauty, this Berry is rare in other regions."
occa-berry,Occa Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fire-type attack."
passho-berry,Passho Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Water-type attack."
wacan-berry,Wacan Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Electric-type attack."
rindo-berry,Rindo Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Grass-type attack."
yache-berry,Yache Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ice-type attack."
chople-berry,Chople Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fighting-type attack."
kebia-berry,Kebia Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Poison-type attack."
shuca-berry,Shuca Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ground-type attack."
coba-berry,Coba Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Flying-type attack."
payapa-berry,Payapa Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Psychic-type attack."
tanga-berry,Tanga Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Bug-type attack."
charti-berry,Charti Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Rock-type attack."
kasib-berry,Kasib Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Ghost-type attack."
haban-berry,Haban Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dragon-type attack."
colbur-berry,Colbur Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Dark-type attack."
babiri-berry,Babiri Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Steel-type attack."
chilan-berry,Chilan Berry,20,Berries,"If held by a Pokémon, this Berry will lessen the damage taken from one Normal-type attack."
liechi-berry,Liechi Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Attack stat will increase when it’s in a pinch."
ganlon-berry,Ganlon Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Defense stat will increase when it’s in a pinch."
salac-berry,Salac Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Speed stat will increase when it’s in a pinch."
petaya-berry,Petaya Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Atk stat will increase when it’s in a pinch."
apicot-berry,Apicot Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its Sp. Def stat will increase when it’s in a pinch."
lansat-berry,Lansat Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its critical-hit ratio will increase when it’s in a pinch."
starf-berry,Starf Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, one of its stats will sharply increase when it’s in a pinch."
enigma-berry,Enigma Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, being hit by a supereffective attack will restore its HP."
micle-berry,Micle Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, its accuracy will increase just once when it’s in a pinch."
custap-berry,Custap Berry,20,Berries,"A Berry to be consumed by Pokémon. If a Pokémon holds one, it will be able to move first just once when it’s in a pinch."
jaboca-berry,Jaboca Berry,20,Berries,"A Berry to be consumed by Pokémon. If a physical attack hits the Pokémon holding it, the attacker will also be hurt."
rowap-berry,Rowap Berry,20,Berries,"A Berry to be consumed by Pokémon. If a special attack hits the Pokémon holding it, the attacker will also be hurt."
bright-powder,Bright Powder,4000,Items,An item to be held by a Pokémon. It casts a tricky glare that lowers the opposing Pokémon’s accuracy.
white-herb,White Herb,4000,Items,An item to be held by a Pokémon. It will restore any lowered stat in battle. It can be used only once.
macho-brace,Macho Brace,3000,Items,"An item to be held by a Pokémon. This stiff, heavy brace helps Pokémon grow strong but cuts Speed in battle."
exp-share,Exp. Share,0,Items,Turning on this special device will allow all the Pokémon on your team to receive Exp. Points from battles.
quick-claw,Quick Claw,4000,Items,"An item to be held by a Pokémon. This light, sharp claw lets the bearer move first occasionally."
soothe-bell,Soothe Bell,4000,Items,"An item to be held by a Pokémon. The comforting chime of this bell calms the holder, making it friendly."
mental-herb,Mental Herb,4000,Items,An item to be held by a Pokémon. The holder shakes off move-binding effects to move freely. It can be used only once.
choice-band,Choice Band,4000,Items,An item to be held by a Pokémon. This curious headband boosts Attack but only allows the use of one move.
kings-rock,King’s Rock,5000,Items,"An item to be held by a Pokémon. When the holder successfully inflicts damage, the target may also flinch."
silver-powder,Silver Powder,1000,Items,An item to be held by a Pokémon. It’s a shiny silver powder that will boost the power of Bug-type moves.
amulet-coin,Amulet Coin,10000,Items,An item to be held by a Pokémon. It doubles any prize money received if the holding Pokémon joins a battle.
cleanse-tag,Cleanse Tag,5000,Items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the head of the party.
soul-dew,Soul Dew,0,Items,A wondrous orb to be held by either Latios or Latias. It raises the power of Psychic- and Dragon-type moves.
deep-sea-tooth,Deep Sea Tooth,2000,Items,An item to be held by Clamperl. This fang gleams a sharp silver and raises the holder’s Sp. Atk stat.
deep-sea-scale,Deep Sea Scale,2000,Items,An item to be held by Clamperl. This scale shines with a faint pink and raises the holder’s Sp. Def stat.
smoke-ball,Smoke Ball,4000,Items,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon encounter without fail.
everstone,Everstone,3000,Items,An item to be held by a Pokémon. A Pokémon holding this peculiar stone is prevented from evolving.
focus-band,Focus Band,4000,Items,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP."
lucky-egg,Lucky Egg,10000,Items,An item to be held by a Pokémon. It’s an egg filled with happiness that earns extra Exp. Points in battle.
scope-lens,Scope Lens,4000,Items,An item to be held by a Pokémon. It’s a lens for scoping out weak points. It boosts the holder’s critical-hit ratio.
metal-coat,Metal Coat,2000,Items,An item to be held by a Pokémon. It’s a special metallic film that can boost the power of Steel-type moves.
leftovers,Leftovers,4000,Items,An item to be held by a Pokémon. The holder’s HP is slowly but steadily restored throughout every battle.
dragon-scale,Dragon Scale,2000,Items,A very tough and inflexible scale. Dragon-type Pokémon may be holding this item when caught.
light-ball,Light Ball,1000,Items,An item to be held by Pikachu. It’s a puzzling orb that boosts its Attack and Sp. Atk stats.
soft-sand,Soft Sand,1000,Items,"An item to be held by a Pokémon. It’s a loose, silky sand that boosts the power of Ground-type moves."
hard-stone,Hard Stone,1000,Items,An item to be held by a Pokémon. It’s a durable stone that boosts the power of Rock-type moves.
miracle-seed,Miracle Seed,1000,Items,An item to be held by a Pokémon. It’s a seed imbued with life force that boosts the power of Grass-type moves.
black-glasses,Black Glasses,1000,Items,An item to be held by a Pokémon. A pair of shady-looking glasses that boost the power of Dark-type moves.
black-belt,Black Belt,1000,Items,An item to be held by a Pokémon. This belt helps the wearer to focus and boosts the power of Fighting-type moves.
magnet,Magnet,1000,Items,An item to be held by a Pokémon. It’s a powerful magnet that boosts the power of Electric-type moves.
mystic-water,Mystic Water,1000,Items,An item to be held by a Pokémon. This teardrop-shaped gem boosts the power of Water-type moves.
sharp-beak,Sharp Beak,1000,Items,"An item to be held by a Pokémon. It’s a long, sharp beak that boosts the power of Flying-type moves."
poison-barb,Poison Barb,1000,Items,"An item to be held by a Pokémon. This small, poisonous barb boosts the power of Poison-type moves."
never-melt-ice,Never-Melt Ice,1000,Items,An item to be held by a Pokémon. It’s a heat- repelling piece of ice that boosts the power of  Ice-type moves.
spell-tag,Spell Tag,1000,Items,"An item to be held by a Pokémon. It’s a sinister, eerie tag that boosts the power of Ghost-type moves."
twisted-spoon,Twisted Spoon,1000,Items,An item to be held by a Pokémon. This spoon is imbued with telekinetic power and boosts Psychic-type moves.
charcoal,Charcoal,1000,Items,An item to be held by a Pokémon. It’s a combustible fuel that boosts the power of Fire-type moves.
dragon-fang,Dragon Fang,1000,Items,An item to be held by a Pokémon. This hard and sharp fang boosts the power of Dragon-type moves.
silk-scarf,Silk Scarf,1000,Items,An item to be held by a Pokémon. It’s a sumptuous scarf that boosts the power of Normal-type moves.
up-grade,Up-Grade,2000,Items,A transparent device somehow filled with all sorts of data. It was produced by Silph Co.
shell-bell,Shell Bell,4000,Items,An item to be held by a Pokémon. The holder regains a little HP every time it inflicts damage on others.
sea-incense,Sea Incense,2000,Items,An item to be held by a Pokémon. This incense has a curious aroma that boosts the power of Water-type moves.
lax-incense,Lax Incense,5000,Items,An item to be held by a Pokémon. The beguiling aroma of this incense may cause attacks to miss its holder.
lucky-punch,Lucky Punch,1000,Items,An item to be held by Chansey. This pair of lucky boxing gloves will boost Chansey’s critical-hit ratio.
metal-powder,Metal Powder,1000,Items,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat."
thick-club,Thick Club,1000,Items,An item to be held by Cubone or Marowak. It’s a hard bone of some sort that boosts the Attack stat.
