pokemon_identifier,entry_number,flavor_text
blastoise,2,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
blastoise-mega,1,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
blastoise-mega,2,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
blastoise-gigantamax,1,"It's not very good at precision shooting. When attacking, it just fires its 31 cannons over and over and over. "
blastoise-gigantamax,2,Water fired from this Pokémon's central main cannon has enough power to blast a hole into a mountain.
caterpie,1,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
caterpie,2,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
metapod,1,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
metapod,2,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
butterfree,1,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
butterfree,2,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
butterfree-gigantamax,1,Crystallized Gigantamax energy makes up this Pokémon's blindingly bright and highly toxic scales. 
butterfree-gigantamax,2,"Once it has opponents trapped in a tornado that could blow away a 10-ton truck, it finishes them off with its poisonous scales. "
weedle,1,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
weedle,2,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
kakuna,1,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger."
kakuna,2,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
beedrill,1,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
beedrill,2,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
beedrill-mega,1,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
beedrill-mega,2,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
pidgey,1,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
pidgey,2,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
pidgeotto,1,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.
pidgeotto,2,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
pidgeot,1,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
pidgeot,2,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
pidgeot-mega,1,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
pidgeot-mega,2,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
rattata,1,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."
rattata,2,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.
rattata-alola,1,"It shows no interest in anything that isn't fresh. If you take it shopping with you, it will help you pick out ingredients."
rattata-alola,2,"Night after night, they sneak into people's homes seeking food. A massive outbreak of them has become an issue of public concern. "
raticate,1,People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola.
raticate,2,"Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers."
raticate-alola,1,"It has an incredibly greedy personality. Its nest is filled with so much food gathered by Rattata at its direction, it can't possibly eat it all. "
raticate-alola,2,"It commands a nest of Rattata. Different nests don't get along, whipping up severe fights over feeding grounds. "
spearow,1,Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory.
spearow,2,"Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon."
fearow,1,Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash!
fearow,2,"In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food."
ekans,1,"By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests."
ekans,2,"The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints."
arbok,1,The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach.
arbok,2,"After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving."
pikachu,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-cosplay,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu-cosplay,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-rock-star,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu-rock-star,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-belle,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu-belle,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-pop-star,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu-pop-star,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-ph-d,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu-ph-d,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-libre,1,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
pikachu-libre,2,"When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
pikachu-original-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of traveling through many different regions. "
pikachu-original-cap,2,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled across many regions together.
pikachu-hoenn-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of traveling through the Hoenn region."
pikachu-hoenn-cap,2,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled throughout the Hoenn region together.
pikachu-sinnoh-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of traveling through the Sinnoh region."
pikachu-sinnoh-cap,2,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled throughout the Sinnoh region together.
pikachu-unova-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of traveling through the Unova region."
pikachu-unova-cap,2,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled throughout the Unova region together.
pikachu-kalos-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of traveling through the Kalos region."
pikachu-kalos-cap,2,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled throughout the Kalos region together.
pikachu-alola-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of traveling through the Alola region."
pikachu-alola-cap,2,This Pikachu is wearing its Trainer's cap. The cap is proof that the two traveled throughout the Alola region together.
pikachu-partner-cap,1,"This Pikachu wears its partner's cap, which is brimming with memories of when they first met. "
pikachu-partner-cap,2,This Pikachu is wearing its Trainer's cap. The cap is a precious symbol of a fateful encounter. 
pikachu-gigantamax,1,"Its Gigantamax power expanded, forming its supersized body and towering tail. "
pikachu-gigantamax,2,"When it smashes its opponents with its bolt-shaped tail, it delivers a surge of electricity equivalent to a lightning strike. "
raichu,1,Its long tail serves as a ground to protect itself from its own high-voltage power.
raichu,2,"If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere."
raichu-alola,1,"It's believed that the weather, climate, and food of the Alola region all play a part in causing Pikachu to evolve into this form of Raichu."
raichu-alola,2,This Pokémon rides on its tail while it uses its psychic powers to levitate. It attacks with star-shaped thunderbolts. 
sandshrew,1,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
sandshrew,2,"It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging."
sandshrew-alola,1,Life on mountains covered with deep snow has granted this Pokémon a body of ice that's as hard as steel.
sandshrew-alola,2,"It lives in snowy mountains on southern islands. When a blizzard rolls in, this Pokémon hunkers down in the snow to avoid getting blown away. "
sandslash,1,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
sandslash,2,"It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree."
sandslash-alola,1,"It uses large, hooked claws to cut a path through deep snow as it runs. On snowy mountains, this Sandslash is faster than any other Pokémon."
sandslash-alola,2,"Many people climb snowy mountains, hoping to see the icy spikes of these Pokémon glistening in the light of dawn. "
nidoran-female,1,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators."
nidoran-female,2,It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn.
nidorina,1,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
nidorina,2,"If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves."
nidoqueen,1,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack."
nidoqueen,2,It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present.
nidoran-male,1,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears."
nidoran-male,2,"Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with."
nidorino,1,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone."
nidorino,2,It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body.
nidoking,1,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
nidoking,2,"Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn."
clefairy,1,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
clefairy,2,"Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found."
clefable,1,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
clefable,2,"Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places."
vulpix,1,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
vulpix,2,"As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm."
vulpix-alola,1,"After long years in the ever-snowcapped mountains of Alola, this Vulpix has gained power over ice. "
vulpix-alola,2,"If you observe its curly hairs through a microscope, you'll see small ice particles springing up."
ninetales,1,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
ninetales,2,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
ninetales-alola,1,"A deity resides in the snowy mountains where this Pokémon lives. In ancient times, it was worshiped as that deity's incarnation. "
ninetales-alola,2,"While it will guide travelers who get lost on a snowy mountain down to the mountain's base, it won't forgive anyone who harms nature. "
jigglypuff,1,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep."
jigglypuff,2,"By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy."
wigglytuff,1,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them."
wigglytuff,2,"It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly."
zubat,1,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill."
zubat,2,"Zubat live in caves, down where the sun’s light won’t reach. In the morning, they gather together to keep each other warm as they sleep."
golbat,1,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered."
golbat,2,"Its feet are tiny, but this Pokémon walks skillfully. It sneaks up on sleeping prey before sinking in its fangs and slurping up blood."
oddish,1,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds."
oddish,2,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight."
gloom,1,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.
gloom,2,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.
vileplume,1,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
vileplume,2,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
paras,1,"Whether it’s due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don’t grow up quite right."
paras,2,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off."
parasect,1,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving."
parasect,2,"Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality."
venonat,1,"Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light."
venonat,2,Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night.
venomoth,1,"The scales it scatters will paralyze anyone who touches them, making that person unable to stand."
venomoth,2,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust."
diglett,1,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
diglett,2,"It burrows through the ground at a shallow depth. It leaves raised earth in its wake, making it easy to spot."
diglett-alola,1,The metal-rich geology of this Pokémon's habitat caused it to develop steel whiskers on its head. 
diglett-alola,2,Its three hairs change shape depending on Diglett's mood. They're a useful communication tool among these Pokémon. 
dugtrio,1,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
dugtrio,2,These Diglett triplets dig over 60 miles below sea level. No one knows what it’s like underground.
dugtrio-alola,1,"Their beautiful, metallic whiskers create a sort of protective helmet on their heads, and they also function as highly precise sensors. "
dugtrio-alola,2,"The three of them get along very well. Through their formidable teamwork, they defeat powerful opponents. "
meowth,1,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
meowth,2,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.
meowth-alola,1,"It's accustomed to luxury because it used to live with Alolan royalty. As a result, it's very picky about food. "
meowth-alola,2,"Deeply proud and keenly smart, this Pokémon moves with cunning during battle and relentlessly attacks enemies' weak points. "
meowth-galar,1,"Living with a savage, seafaring people has toughened this Pokémon's body so much that parts of it have turned to iron. "
meowth-galar,2,"These daring Pokémon have coins on their foreheads. Darker coins are harder, and harder coins garner more respect among Meowth. "
meowth-gigantamax,1,The pattern that has appeared on its giant coin is thought to be the key to unlocking the secrets of the Dynamax phenomenon. 
meowth-gigantamax,2,Its body has grown incredibly long and the coin on its forehead has grown incredibly large—all thanks to Gigantamax power. 
persian,1,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
persian,2,Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain.
persian-alola,1,"The round face of Alolan Persian is considered to be a symbol of prosperity in the Alola region, so these Pokémon are very well cared for. "
persian-alola,2,"This Pokémon is one tough opponent. Not only does it have formidable physical abilities, but it's also not above fighting dirty. "
psyduck,1,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while."
psyduck,2,"As Psyduck gets stressed out, its headache gets progressively worse. It uses intense psychic energy to overwhelm those around it."
golduck,1,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display."
golduck,2,Old tales tell of Golduck punishing those that defiled its river. The guilty were dragged into the water and taken away.
mankey,1,"The smallest of things could cause it to lose its temper. Because it doesn’t hold in its stress, this Pokémon can live a long time."
mankey,2,"If one gets angry, all the others around it will get angry, so silence is a rare visitor in a troop of Mankey."
primeape,1,"It will never forgive opponents who have angered it. Even after it has beaten them down until they can’t move, it never ever forgives."
primeape,2,"The blood vessels in its brain are sturdier than those of other Pokémon, so it can stay healthy despite its constant raging."
growlithe,1,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.
growlithe,2,"Extremely loyal, it will fearlessly bark at any opponent to protect its own Trainer from harm."
arcanine,1,"The sight of it running over 6,200 miles in a single day and night has captivated many people."
arcanine,2,A Pokémon that has long been admired for its beauty. It runs agilely as if on wings.
poliwag,1,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin."
poliwag,2,"In rivers with fast-flowing water, this Pokémon will cling to a rock by using its thick lips, which act like a suction cup."
poliwhirl,1,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.
poliwhirl,2,"This Pokémon’s sweat is a slimy mucus. When captured, Poliwhirl can slither from its enemies’ grasp and escape."
poliwrath,1,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward."
poliwrath,2,Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches.
abra,1,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.
abra,2,"Abra can teleport in its sleep. Apparently the more deeply Abra sleeps, the farther its teleportations go."
kadabra,1,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow."
kadabra,2,"This Pokémon’s telekinesis is immensely powerful. To prepare for evolution, Kadabra stores up psychic energy in the star on its forehead."
alakazam,1,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
alakazam,2,Alakazam wields potent psychic powers. It’s said that this Pokémon used these powers to create the spoons it holds.
alakazam-mega,1,It sends out psychic power from the red organ on its forehead to foresee its opponents' every move.
alakazam-mega,2,"Having traded away its muscles, Alakazam's true power has been unleashed. With its psychic powers, it can foresee all things. "
machop,1,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups."
machop,2,"Always brimming with power, it passes time by lifting boulders. Doing so makes it even stronger."
machoke,1,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions."
machoke,2,Its formidable body never gets tired. It helps people by doing work such as the moving of heavy goods.
machamp,1,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.
machamp,2,"With four arms that react more quickly than it can think, it can execute many punches at once."
machamp-gigantamax,1,The Gigantamax energy coursing through its arms makes its punches hit as hard as bomb blasts. 
machamp-gigantamax,2,One of these Pokémon once used its immeasurable strength to lift a large ship that was in trouble. It then carried the ship to port. 
bellsprout,1,"Even though its body is extremely skinny, it is blindingly fast when catching its prey."
bellsprout,2,"Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant."
weepinbell,1,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.
weepinbell,2,It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.
victreebel,1,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
victreebel,2,"Once ingested into this Pokémon’s body, even the hardest object will melt into nothing."
tentacool,1,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.
tentacool,2,"This Pokémon is mostly made of water. A Tentacool out in the ocean is very hard to spot, because its body blends in with the sea."
tentacruel,1,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves."
tentacruel,2,"Its 80 tentacles can stretch and shrink freely. Tentacruel ensnares prey in a net of spread-out tentacles, delivering venomous stings to its catch."
geodude,1,"Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition."
geodude,2,It uses both hands to climb precipitous cliffs. People who see it in action have been known to take up bouldering.
geodude-alola,1,"If you mistake it for a rock and step on it, it will headbutt you in anger. In addition to the pain, it will also zap you with a shock. "
geodude-alola,2,Geodude compete against each other with headbutts. The iron sand on their heads will stick to whichever one has stronger magnetism. 
graveler,1,"It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came."
graveler,2,"It travels by rolling down cliffs. If it falls into a river, it will explode with its last gasp."
graveler-alola,1,"When two Graveler fight each other, it fills the surroundings with flashes of light and sound. People call it the “fireworks of the earth.” "
graveler-alola,2,Graveler's entire body is tinged with electricity due to the stones it likes to eat. It's very quick-tempered. 
golem,1,"When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss."
golem,2,It detonates its own body. The power from that explosion can propel it up steep mountain paths with amazing speed.
golem-alola,1,"It's grumpy and stubborn. If you upset it, it discharges electricity from the surface of its body and growls with a voice like thunder. "
golem-alola,2,It shoots large rocks that are charged with electricity. Tremendous electric shocks are flung out across the whole area of impact. 
ponyta,1,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger."
ponyta,2,"If you’ve been accepted by Ponyta, its burning mane is mysteriously no longer hot to the touch."
ponyta-galar,1,"Its small horn hides a healing power. With a few rubs from this Pokémon's horn, any slight wound you have will be healed. "
ponyta-galar,2,"This Pokémon will look into your eyes and read the contents of your heart. If it finds evil there, it promptly hides away. "
rapidash,1,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind."
rapidash,2,"The fastest runner becomes the leader, and it decides the herd’s pace and direction of travel."
rapidash-galar,1,"Little can stand up to its psycho cut. Unleashed from this Pokémon's horn, the move will punch a hole right through a thick metal sheet. "
rapidash-galar,2,"Brave and prideful, this Pokémon dashes airily through the forest, its steps aided by the psychic power stored in the fur on its fetlocks. "
slowpoke,1,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either."
slowpoke,2,"When this Pokémon’s tail is soaked in water, sweetness seeps from it. Slowpoke uses this trait to lure in and fish up other Pokémon."
slowpoke-galar,1,"Although this Pokémon is normally zoned out, its expression abruptly sharpens on occasion. The cause for this seems to lie in Slowpoke's diet. "
slowpoke-galar,2,"Because Galarian Slowpoke eat the seeds of a plant that grows only in Galar, their tails have developed a spicy flavor."
slowbro,1,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.
slowbro,2,"Being bitten by a Shellder shocked this Pokémon into standing on two legs. If the Shellder lets go, it seems Slowbro will turn back into a Slowpoke."
slowbro-mega,1,"Tremendous energy strengthened the power of the Shellder on its tail, but it doesn't really affect Slowpoke. "
slowbro-mega,2,"Having been swallowed whole by Shellder, Slowbro now has an iron defense. It's pretty comfortable in there, too. "
slowbro-galar,1,"A Shellder bite set off a chemical reaction with the spices inside Slowbro's body, causing Slowbro to become a Poison-type Pokémon. "
slowbro-galar,2,"If this Pokémon squeezes the tongue of the Shellder biting it, the Shellder will launch a toxic liquid from the tip of its shell. "
magnemite,1,"At times, Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite, it’ll start moving again."
magnemite,2,"It subsists on electricity. As Magnemite flies, it emits electromagnetic waves from the units on each side of its body."
magneton,1,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.
magneton,2,This Pokémon is constantly putting out a powerful magnetic force. Most computers go haywire when a Magneton approaches.
farfetchd,1,"The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation, the stalk can also serve as food."
farfetchd,2,"They use a plant stalk as a weapon, but not all of them use it in the same way. Several distinct styles of stalk fighting have been observed."
farfetchd-galar,1,"The Farfetch'd of the Galar region are brave warriors, and they wield thick, tough leeks in battle. "
farfetchd-galar,2,The stalks of leeks are thicker and longer in the Galar region. Farfetch'd that adapted to these stalks took on a unique form. 
doduo,1,A two-headed Pokémon that was discovered as a sudden mutation. It runs at a pace of over 60 miles per hour.
doduo,2,The brains in its two heads appear to communicate emotions to each other with a telepathic power.
dodrio,1,An enemy that takes its eyes off any of the three heads--even for a second--will get pecked severely.
dodrio,2,"An odd species that is rarely found. The three heads respectively represent joy, sadness, and anger."
seel,1,It has always been supposed that Seel live only in cold seas. Their having shown up in Alola is a mystery.
seel,2,"Thanks to its thick fat, cold seas don’t bother it at all, but it gets tired pretty easily in warm waters."
dewgong,1,"It swims through the ocean at a speed of eight knots, searching for Pokémon that will become its prey. It’s especially fond of Wishiwashi."
dewgong,2,It sunbathes on the beach after meals. The rise in its body temperature helps its digestion.
grimer,1,"It was born from sludge on the ocean floor. In a sterile environment, the germs within its body can’t multiply, and it dies."
grimer,2,"The wastewater coming from factories is clean these days, so Grimer have nothing to eat. They’re said to be on the verge of extinction."
grimer-alola,1,There are a hundred or so of them living in Alola's waste-disposal site. They're all hard workers who eat a lot of trash. 
grimer-alola,2,"Brought to Alola to solve the garbage problem, Grimer seems to relish any and all kinds of trash. "
muk,1,"Their food sources have decreased, and their numbers have declined sharply. Sludge ponds are being built to prevent their extinction."
muk,2,"Because they scatter germs everywhere, they’ve long been targeted for extermination, leading to a steep decline in their population."
muk-alola,1,There are over a hundred kinds of poison inside its body. Chemical reactions between different poisons are the source of its vitality. 
muk-alola,2,"What look like fangs and claws are actually crystallized poison that will afflict you at a mere touch, so don't get too close. "
shellder,1,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.
shellder,2,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
cloyster,1,"Its shell is extremely hard. It cannot be shattered, even with a bomb. The shell opens only when it is attacking."
cloyster,2,"Once it slams its shell shut, it is impossible to open, even by those with superior strength."
gastly,1,"Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison."
gastly,2,"With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind."
haunter,1,"Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes."
